KM,Año,Combustible,Ciudad,Nº puertas,Garantía,Cambio,Color,Carrocería,Marca,Modelo,Versión,Potencia,Tipo de carrocería,Velocidad máxima,Aceleracion,Consumo,Emisiones,Dimensiones,Etiqueta medioambiental,Precio
24.506,2022,Diésel,Polígono Industrial de Son Castelló,4,Sí,Manual ,Gris,Monovolumen,Citroen,SpaceTourer,SpaceTourer Talla XS BlueHDi 120 S&S Business,120 CV,Vehículo comercial,160 km/h,12 s,4.8 l/100km,127g CO2/km,4609 mm / 1920 mm / 1905 mm,C,30.095€
16.121,2023,Híbrido (Gasolina),Zaragoza,5,Sí,Automático ,Rojo,Berlina,Peugeot,408,408 Allure Pack Plug-In Hybrid 225 e-EAT8,224 CV,Turismo,233 km/h,7.8 s,1.2 l/100km,g CO2/km,4687 mm / 1848 mm / 1478 mm,Cero,36.990€
12.293,2021,Gasolina,Ourense,5,Sí,Automático ,Gris,Todoterreno,Citroen,C3 Aircross,C3 Aircross PureTech 130 S&S EAT6 Shine,131 CV,Todoterreno,197 km/h,9.2 s,6.3 l/100km,g CO2/km,4154 mm / 1756 mm / 1597 mm,C,18.900€
24.317,2022,Híbrido (Gasolina),Zaragoza,5,Sí,Automático ,Azul,Familiar,Peugeot,308,308 SW GT Hybrid 225 e-EAT8,225 CV,Turismo familiar,235 km/h,7.6 s,1.3 l/100km,g CO2/km,4636 mm / 1852 mm / 1442 mm,Cero,28.990€
39.729,2022,Gasolina,Zaragoza,5,Sí,Manual ,Gris,Berlina,Opel,Corsa,Corsa 1.2T 74 kW (100 CV) GS Line +,100 CV,Turismo,188 km/h,9.9 s,5.2 l/100km,g CO2/km,4060 mm / 1765 mm / 1435 mm,C,13.990€
20.119,2023,Diésel,Zaragoza,5,Sí,Manual ,Gris,Berlina,Peugeot,208,208 Allure Pack BlueHDi 100 S&S,100 CV,Turismo,188 km/h,10.2 s,4.2 l/100km,g CO2/km,4055 mm / 1745 mm / 1430 mm,C,18.490€
43.498,2019,Diésel,Zaragoza,5,Sí,Manual ,Verde,Berlina,Citroen,C3,C3 BlueHDi 100 S&S Shine,99 CV,Turismo,188 km/h,10.2 s,4.5 l/100km,90g CO2/km,3996 mm / 1749 mm / 1474 mm,C,12.990€
20.0,2023,Gasolina,Igualada,5,Sí,Manual ,Blanco,Berlina,SEAT,Ibiza,Ibiza 1.0 TSI 81 kW (110 CV) Style,110 CV,Turismo,195 km/h,10.2 s,5 l/100km,g CO2/km,4059 mm / 1780 mm / 1444 mm,C,17.950€
2.0,2023,Diésel,Barcelona,4,Sí,Manual ,Blanco,Vehículo,Peugeot,Partner,Partner Tepee Outdoor e-HDi 92 SST,102 CV,Vehículo comercial,165 km/h,14.3 s,4.9 l/100km,129g CO2/km,4380 mm / 1810 mm / 1862 mm,B,18.490€
26.467,2019,Gasolina,Barcelona,5,Sí,Manual ,Azul,Todoterreno,Peugeot,5008,5008 Allure PureTech 130 S&S,130 CV,Todoterreno,188 km/h,9.9 s,5.4 l/100km,122g CO2/km,4641 mm / 1844 mm / 1651 mm,C,19.490€
5.0,2023,Gasolina,Sant Feliu de Llobregat,5,Sí,Manual ,Blanco,Todoterreno,Peugeot,2008,2008 Active Pack Puretech 100,100 CV,Todoterreno,188 km/h,10.9 s,5.4 l/100km,g CO2/km,4300 mm / 1770 mm / 1530 mm,C,22.450€
68.121,2018,Gasolina,Barcelona,5,Sí,Manual ,Blanco,Monovolumen,Citroen,C4 SpaceTourer,C4 SpaceTourer PureTech 130 S&S Shine,130 CV,Monovolumen,200 km/h,9.6 s,5.2 l/100km,119g CO2/km,4438 mm / 1826 mm / 1610 mm,C,16.490€
18.984,2018,Gasolina,Sant Boi de Llobregat,5,Sí,Automático ,Azul,Berlina,Citroen,C4 Cactus,C4 Cactus PureTech 110 S&S EAT6 Shine,110 CV,Turismo,188 km/h,9.7 s,4.6 l/100km,105g CO2/km,4157 mm / 1729 mm / 1480 mm,C,15.690€
33.946,2020,Diésel,Sant Feliu de Llobregat,5,Sí,Manual ,Bronce,Monovolumen,Peugeot,Rifter,Rifter Allure Standard BlueHDi 130,130 CV,Vehículo comercial,186 km/h, s,4.4 l/100km,115g CO2/km,4403 mm / 1848 mm / 1796 mm,C,22.900€
61.367,2020,Gasolina,Córdoba,5,Sí,Manual ,Gris,Berlina,Nissan,Qashqai,Qashqai Acenta DIG-T 103 kW (140 CV),140 CV,Todoterreno,193 km/h,10.5 s,5.3 l/100km,121g CO2/km,4394 mm / 1806 mm / 1590 mm,C,21.900€
40.1,2021,Híbrido (Diésel),Córdoba,5,Sí,Automático ,Blanco,Todoterreno,False,False,False,136 CV,False,False,False,False,False,False,False,35.000€
15.0,2024,Gasolina,Córdoba,5,Sí,Manual ,Blanco,Todoterreno,Hyundai,TUCSON,Tucson N Line 1.6 T-GDI 48V 110 kW (150 CV),150 CV,Todoterreno,189 km/h,10.3 s,6.7 l/100km,g CO2/km,4500 mm / 1865 mm / 1650 mm,ECO,31.900€
77.217,2021,Gasolina,Córdoba,5,Sí,Automático ,Blanco,Berlina,Nissan,Qashqai,Qashqai Acenta DIG-T 117 kW (160 CV) DCT,160 CV,Todoterreno,200 km/h,8.9 s,5.3 l/100km,122g CO2/km,4394 mm / 1806 mm / 1590 mm,C,22.900€
74.427,2019,Gasolina,Córdoba,4,Sí,Automático ,Gris,Berlina,BMW,3 Series,318i Berlina Aut.,136 CV,Turismo,210 km/h,9.1 s,5 l/100km,116g CO2/km,4633 mm / 1811 mm / 1429 mm,C,24.400€
45.163,2020,Diésel,Córdoba,4,Sí,Manual ,Gris,Furgoneta,Mercedes-Benz,Citan,Citan Tourer Pure 108 CDI,92 CV,Vehículo comercial, km/h, s,5.5 l/100km,g CO2/km,4321 mm / 1829 mm / 1809 mm,C,16.500€
73.157,2019,Gasolina,Córdoba,5,Sí,Automático ,Negro,Berlina,Volkswagen,Golf,Golf 5p GTI TCR 2.0 TSI 213 kW (290 CV) DSG 7 vel.,290 CV,Turismo,250 km/h,5.6 s,6.7 l/100km,153g CO2/km,4268 mm / 1790 mm / 1482 mm,C,33.400€
38.932,2019,Gasolina,Córdoba,5,Sí,Manual ,Blanco,Berlina,Peugeot,308,308 SW Style 1.2 PureTech 130 S&S,129 CV,Turismo familiar,205 km/h,10 s,4.6 l/100km,106g CO2/km,4585 mm / 1804 mm / 1471 mm,C,15.500€
29.322,2021,Gasolina,Córdoba,5,Sí,Automático ,Azul claro,Todoterreno,Hyundai,Kona,Kona N 2.0 TGDi 206 kW (280 CV),280 CV,Todoterreno,240 km/h,5.5 s,8.5 l/100km,g CO2/km,4215 mm / 1800 mm / 1565 mm,C,33.900€
65.821,2019,Diésel,Córdoba,5,Sí,Manual ,Blanco,Todoterreno,Mazda,Cx-3,CX-3 Zenith 1.8 SKYACTIV-D 85 kW (115 CV) 2WD,115 CV,Todoterreno,184 km/h,9.9 s,4.4 l/100km,114g CO2/km,4275 mm / 1765 mm / 1535 mm,C,19.900€
39.442,2019,Gasolina,Córdoba,3,Sí,Manual ,Verde,Berlina,Fiat,500,500 Sport 0.9 Turbo TwinAir 85 CV,80 CV,Turismo,173 km/h,11 s,4.1 l/100km,95g CO2/km,3546 mm / 1627 mm / 1488 mm,C,14.400€
78.348,2019,Gasolina,Córdoba,5,Sí,Automático ,Blanco,Berlina,Ford,Focus,Focus Berlina Trend+ 1.0 EcoBoost 92 kW (125 CV) PowerShift Auto-Start-Stop,125 CV,Turismo,192 km/h,12 s,5.5 l/100km,125g CO2/km,4358 mm / 1823 mm / 1484 mm,C,17.900€
33.746,2021,Híbrido (Gasolina),Córdoba,5,Sí,Automático ,Gris,Todoterreno,Hyundai,Santa Fe,Santa Fe 1.6 T-GDI PHEV 195 kW (265 CV) 4x4 6AT Tecno 7 plazas,264 CV,Todoterreno,187 km/h,8.8 s,1.6 l/100km,g CO2/km,4785 mm / 1900 mm / 1710 mm,Cero,44.900€
124.5,2019,Gasolina,Las Palmas de Gran Canaria,5,Sí,Manual ,Naranja,Todoterreno,Hyundai,Kona,Kona 1.0 T-GDI 88 kW (120 CV) 4x2 Essence,119 CV,Todoterreno,181 km/h,12 s,5.5 l/100km,124g CO2/km,4165 mm / 1800 mm / 1550 mm,C,12.995€
53.1,2020,Híbrido (Gasolina),Las Palmas de Gran Canaria,5,Sí,Automático ,Gris,Berlina,Toyota,C-HR,C-HR 125H Advance,122 CV,Todoterreno,170 km/h,11 s,4.9 l/100km,86g CO2/km,4390 mm / 1795 mm / 1555 mm,ECO,19.995€
69.95,2019,Híbrido Enchufable (PHEV),Las Palmas de Gran Canaria,5,Sí,Automático ,Blanco,Todoterreno,False,False,False,224 CV,False,False,False,False,False,False,False,19.995€
234.8,2016,Diésel,Las Palmas de Gran Canaria,2,No,Manual ,Blanco,Deportivo,BMW,2 Series,218d Coupé,149 CV,Coupé,213 km/h,8.4 s,4 l/100km,106g CO2/km,4432 mm / 1774 mm / 1418 mm,C,13.995€
129.78,2021,Híbrido (Gasolina),Las Palmas de Gran Canaria,4,Sí,Automático ,Blanco,Sedan,Toyota,COROLLA,Corolla Sedan 125H Business Plus,122 CV,Turismo,180 km/h,11 s,4.5 l/100km,g CO2/km,4630 mm / 1780 mm / 1435 mm,ECO,17.995€
79.95,2019,Gasolina,Las Palmas de Gran Canaria,5,Sí,Manual ,Gris,Utilitario,Toyota,Aygo,Aygo 5p 70 x-play,72 CV,Turismo,160 km/h,14.2 s,4.1 l/100km,95g CO2/km,3455 mm / 1615 mm / 1460 mm,C,10.995€
69.95,2020,Gasolina,Las Palmas de Gran Canaria,5,Sí,Manual ,Gris,Berlina,Opel,Corsa,Corsa 1.2T 74 kW (100 CV) Elegance,100 CV,Turismo,188 km/h,9.9 s,4.2 l/100km,96g CO2/km,4060 mm / 1765 mm / 1435 mm,C,13.995€
119.95,2019,Híbrido (Gasolina),Las Palmas de Gran Canaria,5,Sí,Automático ,Blanco,Familiar,Toyota,Auris,Auris Touring Sports 140H e-CVT Active,136 CV,Turismo familiar,175 km/h,11.2 s,4.2 l/100km,95g CO2/km,4595 mm / 1760 mm / 1485 mm,ECO,16.995€
104.95,2020,Gasolina,Las Palmas de Gran Canaria,5,Sí,Manual ,Azul,Todoterreno,Volkswagen,T-Roc,T-Roc Advance 1.0 TSI 85 kW (115 CV),115 CV,Todoterreno,187 km/h,10.1 s,5.1 l/100km,117g CO2/km,4234 mm / 1819 mm / 1573 mm,C,16.995€
49.95,2020,Gasolina,Las Palmas de Gran Canaria,5,Sí,Manual ,Negro,Todoterreno,Volkswagen,T-Cross,T-Cross Edition 1.0 TSI 70 kW (95 CV),95 CV,Todoterreno,180 km/h,11.5 s,4.9 l/100km,112g CO2/km,4108 mm / 1782 mm / 1584 mm,C,16.995€
129.55,2017,Gasolina,Las Palmas de Gran Canaria,5,Sí,Manual ,Negro,Monovolumen,Renault,Scenic,Scenic Intens Energy TCe 97 kW (130 CV),130 CV,Monovolumen,190 km/h,11.4 s,5.8 l/100km,129g CO2/km,4406 mm / 1866 mm / 1653 mm,C,12.995€
23.8,2022,Gasolina,A Coruña,5,Sí,Manual ,Blanco,Berlina,Toyota,Yaris,Yaris 5p 125 S-Edition,124 CV,Turismo,180 km/h,9 s,5 l/100km,g CO2/km,3940 mm / 1745 mm / 1500 mm,C,19.750€
11.2,2023,Híbrido (Gasolina),A Coruña,5,Sí,Automático ,Blanco,Berlina,Toyota,Yaris,Yaris 5p 120H Style Plus,116 CV,Turismo,175 km/h,9.7 s,4.3 l/100km,g CO2/km,3940 mm / 1745 mm / 1500 mm,ECO,22.900€
72.926,2019,Gasolina,Móstoles,5,Sí,Automático ,Gris,Todoterreno,Volkswagen,T-Roc,T-Roc Advance 1.5 TSI EVO 110 kW (150 CV) DSG 7 vel.,150 CV,Todoterreno,205 km/h,8.4 s,5.4 l/100km,123g CO2/km,4234 mm / 1819 mm / 1573 mm,C,22.990€
54.787,2018,Híbrido (Gasolina),Móstoles,5,Sí,Automático ,Gris,Todoterreno,Toyota,C-HR,C-HR Hybrid Advance,122 CV,Todoterreno,170 km/h,11 s,3.9 l/100km,86g CO2/km,4360 mm / 1795 mm / 1555 mm,ECO,20.990€
42.874,2019,Gasolina,Móstoles,5,Sí,Automático ,Gris,Utilitario,Smart,Forfour,forfour passion 66 kW (90 CV) twinamic,90 CV,Turismo,165 km/h,11.9 s,4.2 l/100km,98g CO2/km,3495 mm / 1665 mm / 1554 mm,C,12.990€
83.0,2023,Diésel,Madrid,4,Sí,Automático ,Gris,Furgoneta,False,False,False,145 CV,False,False,False,False,False,False,False,35.000€
9.636,2023,Diésel,Móstoles,5,Sí,Automático ,Blanco,Berlina,Peugeot,308,308 SW Active BlueHDi 130 S&S EAT8,130 CV,Turismo familiar,205 km/h,9.7 s,4.8 l/100km,g CO2/km,4585 mm / 1804 mm / 1470 mm,C,25.990€
22.08,2023,Gasolina,Móstoles,5,Sí,Automático ,Blanco,Berlina,Peugeot,208,208 5p GT-Line 1.2 PureTech 110 S&S EAT6,100 CV,Turismo,190 km/h,9.8 s,4.5 l/100km,104g CO2/km,3973 mm / 1739 mm / 1460 mm,C,17.965€
23.685,2023,Diésel,Móstoles,5,Sí,Automático ,Negro,Todoterreno,Peugeot,2008,2008 Allure BlueHDi 130 EAT8,130 CV,Todoterreno,195 km/h,9.3 s,4.8 l/100km,g CO2/km,4300 mm / 1770 mm / 1530 mm,C,22.990€
8.745,2023,Gasolina,Móstoles,5,Sí,Manual ,Negro,Berlina,Opel,Corsa,Corsa 1.2T 74 kW (100 CV) GS Line +,100 CV,Turismo,188 km/h,9.9 s,5.2 l/100km,g CO2/km,4060 mm / 1765 mm / 1435 mm,C,15.990€
89.138,2021,Diésel,Móstoles,5,Sí,Manual ,Blanco,Monovolumen,Citroen,C4 SpaceTourer,Grand C4 SpaceTourer BlueHDi 130 S&S C-Series,130 CV,Monovolumen,198 km/h,10.9 s,5.2 l/100km,g CO2/km,4602 mm / 1826 mm / 1638 mm,C,19.990€
20.563,2022,Gasolina,Madrid,5,Sí,Automático ,Gris,Berlina,Citroen,C5 X,C5 X PureTech 130 EAT8 Shine,130 CV,Turismo,213 km/h,11.3 s,6.1 l/100km,g CO2/km,4805 mm / 1815 mm / 1485 mm,C,20.990€
202.0,2011,Diésel,Alcalá de Henares,5,Sí,Manual ,Gris,Monovolumen,Renault,Scenic,Scénic Family Edition dCi 130,130 CV,Monovolumen,195 km/h,10.6 s,5.5 l/100km,145g CO2/km,4344 mm / 1845 mm / 1637 mm,B,6.480€
152.398,0,Híbrido (Gasolina),Alcalá de Henares,4,Sí,Automático ,Gris claro,Berlina,Ford,Mondeo,Mondeo Sedan Titanium HEV 2.0 Híbrido 187 CV,187 CV,Turismo,187 km/h,9.2 s,4.2 l/100km,89g CO2/km,4867 mm / 1852 mm / 1501 mm,ECO,15.480€
221.412,2016,Diésel,Alcalá de Henares,5,Sí,Manual ,Marrón,Familiar,Opel,Zafira Tourer,Zafira Tourer Excellence 2.0 CDTI 165 CV 7 plazas,170 CV,Monovolumen,208 km/h,9.8 s,5.3 l/100km,139g CO2/km,4658 mm / 1884 mm / 1685 mm,B,11.980€
78.745,2014,Gasolina,Valencia,5,Sí,Manual ,Gris,Todoterreno,Peugeot,2008,2008 Active 1.2 VTi 82,81 CV,Todoterreno,169 km/h,13.5 s,4.9 l/100km,114g CO2/km,4159 mm / 1739 mm / 1570 mm,C,9.295€
12.0,2022,Gasolina,Madrid,5,Sí,Automático ,Rojo,Berlina,Renault,Arkana,Arkana techno TCe 103 kW (140 CV) EDC mild hybrid,140 CV,Todoterreno,205 km/h,9.8 s,5.8 l/100km,g CO2/km,4568 mm / 1821 mm / 1576 mm,ECO,27.500€
216.0,2014,Gasolina,Madrid,5,Sí,Manual ,Negro,Monovolumen,Volkswagen,Touran,Touran Edition 1.2 TSI 105 CV (7 plazas),105 CV,Monovolumen,185 km/h,11.9 s,6.4 l/100km,149g CO2/km,4397 mm / 1794 mm / 1674 mm,C,9.500€
199.0,2014,Diésel,Madrid,5,Sí,Manual ,Gris,Monovolumen,Peugeot,807,807 Style 2.0 HDi 135 7 plazas,136 CV,Monovolumen,194 km/h,10.5 s,5.9 l/100km,155g CO2/km,4727 mm / 1850 mm / 1854 mm,B,9.800€
113.0,2011,Gasolina,Madrid,5,Sí,Automático ,Negro,Todoterreno,BMW,X5,X5 M,554 CV,Todoterreno,250 km/h,4.7 s,13.9 l/100km,325g CO2/km,4851 mm / 1994 mm / 1764 mm,C,29.800€
121.111,2019,Diésel,Las Rozas,5,Sí,Manual ,Azul,Furgoneta,Volkswagen,Caddy,Caddy Kombi 1.9 TDI 75 CV,75 CV,Vehículo comercial,150 km/h,13.3 s,6.3 l/100km,170g CO2/km,4405 mm / 1802 mm / 1833 mm,B,12.900€
221.575,2016,Gasolina,Parla,5,Sí,Manual ,Azul,Berlina,Skoda,Fabia,Fabia 1.0 MPI 44 kW (60 CV) Like,60 CV,Turismo,160 km/h,15.7 s,4.7 l/100km,106g CO2/km,3992 mm / 1732 mm / 1467 mm,C,7.750€
141.912,2020,Diésel,Parla,5,Sí,Manual ,Blanco,Berlina,Ford,Focus,Focus Berlina Trend+ 1.5 EcoBlue 88 kW (120 CV),120 CV,Turismo,196 km/h,10 s,3.6 l/100km,92g CO2/km,4378 mm / 1825 mm / 1471 mm,C,12.950€
168.234,2020,Diésel,Parla,5,Sí,Manual ,Gris,Todoterreno,Citroen,C5 Aircross,C5 Aircross Shine BlueHDi 130 S&S,130 CV,Todoterreno,189 km/h,10.4 s,4.1 l/100km,108g CO2/km,4500 mm / 1840 mm / 1654 mm,C,15.950€
130.0,2021,Gasolina,Alfafar,5,Sí,Manual ,Blanco,Utilitario,KIA,Picanto,Picanto 5p 1.0 Concept,67 CV,Turismo,153 km/h,14.4 s,4.2 l/100km,99g CO2/km,3595 mm / 1595 mm / 1480 mm,C,8.900€
251.0,2014,Diésel,Móstoles,5,No,Automático ,Marrón,Todoterreno,Volkswagen,Touareg,Touareg 3.0 V6 TDI 240 CV Tiptronic,,Todoterreno,204 km/h,8.3 s,9.9 l/100km,244g CO2/km,4754 mm / 1928 mm / 1726 mm,B,17.999€
199.0,2014,Diésel,Utrera,5,No,Manual ,Bronce,Utilitario,Volkswagen,Golf,Golf Plus Sport 1.6 TDI 105 CV DPF CR,105 CV,Monovolumen,184 km/h,12.1 s,4.8 l/100km,126g CO2/km,4204 mm / 1759 mm / 1592 mm,B,11.500€
150.0,2008,Gasolina,Humanes de Madrid,4,Sí,Manual ,Plata,Berlina,False,False,False,184 CV,False,False,False,False,False,False,False,9.995€
118.0,2007,Gasolina,Humanes de Madrid,5,Sí,Manual ,Negro,Utilitario,Ford,Focus,Focus Sportbreak Trend 1.6 100cv,100 CV,Turismo familiar,180 km/h,12.2 s,6.7 l/100km,161g CO2/km,4472 mm / 1840 mm / 1501 mm,C,5.495€
106.999,2013,Gasolina,Alcalá de Henares,5,Sí,Manual ,Blanco,Berlina,Ford,Fiesta,Fiesta 5p Trend 1.0 EcoBoost 100 CV,,Turismo,180 km/h,11.2 s,4.5 l/100km,105g CO2/km,3969 mm / 1722 mm / 1495 mm,C,7.490€
31.801,2020,Diésel,San Sebastián de los Reyes,5,Sí,Manual ,Gris,Berlina,Peugeot,208,208 5p Active 1.6 e-HDi 92,100 CV,Turismo,185 km/h,10.9 s,3.8 l/100km,98g CO2/km,3962 mm / 1739 mm / 1460 mm,B,15.490€
17.992,2021,Híbrido (Gasolina),San Sebastián de los Reyes,5,Sí,Automático ,Amarillo,Berlina,False,False,False,160 CV,False,False,False,False,False,False,False,24.490€
99.999,2011,Gasolina,Madrid,3,Sí,Automático ,Gris,Utilitario,Smart,Fortwo,city-coupé passion 45 (61 cv),71 CV,Turismo,135 km/h,15.5 s,4.8 l/100km,g CO2/km,2500 mm / 1515 mm / 1549 mm,B,5.480€
88.014,2011,Diésel,Madrid,2,Sí,Automático ,Negro,Cabriolet,Mercedes-Benz,Clase E,E 350 CDI BlueEFFICIENCY Cabrio,230 CV,Descapotable,250 km/h,6.9 s,7 l/100km,185g CO2/km,4698 mm / 1786 mm / 1398 mm,B,24.800€
121.1,2018,Diésel,Sant Vicenç dels Horts,5,Sí,Manual ,Blanco,Furgoneta,Ford,Transit Connect,Transit Connect Kombi L2 Trend 1.5 TDCi 74 kW (100 CV),100 CV,Vehículo comercial, km/h, s,4.6 l/100km,120g CO2/km,4825 mm / 1835 mm / 1828 mm,C,14.500€
17.5,2018,Diésel,Molins de Rei,5,Sí,Manual ,Plata,Berlina,Citroen,C4 SpaceTourer,C4 SpaceTourer BlueHDi 120 S&S Shine,120 CV,Monovolumen,189 km/h,11.3 s,3.8 l/100km,100g CO2/km,4438 mm / 1826 mm / 1610 mm,C,20.490€
49.91,2019,Gasolina,Molins de Rei,5,Sí,Manual ,Blanco,Berlina,Volkswagen,Golf,Golf Variant Ready2Go 1.0 TSI 81 kW (110 CV),116 CV,Turismo familiar,197 km/h,10.4 s,5 l/100km,114g CO2/km,4586 mm / 1799 mm / 1515 mm,C,18.490€
116.0,2008,Diésel,Mataró,False,Sí,Manual ,Gris,Berlina,Citroen,C3,C3 HDi 92 SX Plus,,Turismo,180 km/h,10.8 s,4.4 l/100km,g CO2/km,3850 mm / 1667 mm / 1519 mm,Sin etiqueta,4.990€
66.0,2019,Gasolina,Mataró,False,Sí,Manual ,Azul,Berlina,Fiat,Panda,Panda Lounge 1.2 69 CV,,Turismo,164 km/h,14.2 s,5.2 l/100km,118g CO2/km,3653 mm / 1643 mm / 1551 mm,C,10.490€
38.0,2020,Gasolina,Mataró,False,Sí,Manual ,Blanco,Berlina,Fiat,500,500 Lounge 1.2 69 CV,,Turismo,160 km/h,12.9 s,5.1 l/100km,119g CO2/km,3546 mm / 1627 mm / 1488 mm,C,11.490€
39.0,2018,Diésel,Mataró,False,Sí,Manual ,Blanco,Berlina,Renault,Clio,Clio 5p Business 1.5 dCi 70cv eco2,,Turismo,162 km/h,15.2 s,4.6 l/100km,120g CO2/km,3986 mm / 1707 mm / 1496 mm,B,11.290€
