KM,Año,Combustible,Ciudad,Nº puertas,Garantía,Cambio,Color,Carrocería,Marca,Modelo,Versión,Potencia,Tipo de carrocería,Velocidad máxima,Aceleracion,Consumo,Emisiones,Dimensiones,Etiqueta medioambiental,Precio
65.000,2020,Gasolina,Badalona,5,Sí,Automático ,Otros,Todoterreno,False,False,False,310 CV,False,False,False,False,False,False,False,35.390€
67.556,2018,Gasolina,Cabrera de Mar,4,Sí,Manual ,Blanco,Berlina,Citroen,C-Élysée,C-Elysée PureTech 82 Feel,82 CV,Turismo,169 km/h,12.9 s,4.8 l/100km,110g CO2/km,4419 mm / 1748 mm / 1466 mm,C,9.990€
93.715,2018,Gasolina,Marbella,3,Sí,Manual ,Blanco,Berlina,Fiat,500,500 Sport 1.2 69 CV,69 CV,Turismo,160 km/h,12.9 s,5.1 l/100km,119g CO2/km,3550 mm / 1627 mm / 1488 mm,C,9.490€
149.793,2018,Diésel,Málaga,4,Sí,Manual ,Gris,Monovolumen,Opel,Vivaro,Vivaro Combi Plus Largo 1.6 CDTI 92 kW (125 CV) Start/Stop,125 CV,Vehículo comercial,171 km/h, s,5.7 l/100km,149g CO2/km,5399 mm / 1956 mm / 1971 mm,C,23.990€
88.020,2021,Diésel,Málaga,5,Sí,Manual ,Negro,Todoterreno,Jeep,Compass,Compass Longitude 1.6 MultiJet 88 kW (120 CV) 4x2,130 CV,Todoterreno,188 km/h,10.7 s,4.4 l/100km,117g CO2/km,4394 mm / 1819 mm / 1629 mm,C,22.990€
34.900,2022,Híbrido (Gasolina),Vélez Málaga,5,Sí,Manual ,Negro,Berlina,False,False,False,125 CV,False,False,False,False,False,False,False,16.990€
96.984,2017,Gasolina,Málaga,5,Sí,Automático ,Rojo,Berlina,False,False,False,310 CV,False,False,False,False,False,False,False,35.990€
67.109,2020,Gasolina,Málaga,5,Sí,Automático ,Rojo,Berlina,Renault,Kadjar,Kadjar Zen TCe GPF 117 kW (160 CV) EDC,160 CV,Todoterreno,210 km/h,9.3 s,5.5 l/100km,131g CO2/km,4489 mm / 1836 mm / 1607 mm,C,21.980€
112.846,2014,Diésel,Málaga,4,Sí,Manual ,Negro,Berlina,Volkswagen,CC,CC 2.0 TDI 140 CV BlueMotion Technology,140 CV,Turismo,214 km/h,9.8 s,4.6 l/100km,120g CO2/km,4802 mm / 1855 mm / 1417 mm,B,16.980€
63.481,2018,Gasolina,Málaga,5,Sí,Manual ,Blanco,Berlina,Hyundai,i20,i20 5p 1.2 MPi Essence 85 CV,84 CV,Turismo,168 km/h,12.7 s,4.9 l/100km,114g CO2/km,3995 mm / 1710 mm / 1490 mm,C,12.480€
32.169,2021,Diésel,Málaga,5,Sí,Automático ,Gris,Berlina,Renault,Kadjar,Kadjar Intens Blue dCi 85 kW (115 CV) EDC,115 CV,Todoterreno,189 km/h,11.5 s,4.2 l/100km,111g CO2/km,4489 mm / 1836 mm / 1607 mm,C,22.490€
22.842,2020,Diésel,Málaga,4,Sí,Automático ,Blanco,Berlina,Mercedes-Benz,CLA,CLA 200 d Coupé 8G-DCT,150 CV,Turismo,226 km/h,8.3 s,5 l/100km,112g CO2/km,4688 mm / 1830 mm / 1439 mm,C,36.990€
53.939,2021,Diésel,Málaga,5,Sí,Manual ,Gris,Monovolumen,Renault,Grand Scenic,Grand Scenic Limited Blue dCi 110 kW (150 CV) 7 plazas,150 CV,Monovolumen,200 km/h,12.9 s,4.8 l/100km,127g CO2/km,4634 mm / 1866 mm / 1655 mm,C,24.990€
38.000,2019,Híbrido (Gasolina),Málaga,5,Sí,Automático ,Gris,Todoterreno,Lexus,UX,UX 250h 4x2 Luxury,184 CV,Todoterreno,177 km/h,8.5 s,4.3 l/100km,97g CO2/km,4495 mm / 1840 mm / 1540 mm,ECO,25.990€
69.807,2016,Híbrido (Gasolina),Málaga,5,Sí,Automático ,Blanco,Berlina,Toyota,Yaris,Yaris 5p Hybrid Feel!,100 CV,Turismo,165 km/h,11.8 s,3.6 l/100km,75g CO2/km,3950 mm / 1695 mm / 1510 mm,ECO,13.980€
91.698,2015,Diésel,Málaga,5,Sí,Manual ,Blanco,Berlina,DS,5,5 HDi 160 Desire,163 CV,Turismo,215 km/h,8.8 s,4.8 l/100km,125g CO2/km,4530 mm / 1871 mm / 1513 mm,C,13.490€
22.361,2017,Gasolina,Málaga,5,Sí,Manual ,Blanco,Monovolumen,Ford,Tourneo Courier,Tourneo Courier Trend 1.0 EcoBoost 100 CV Start&Stop,100 CV,Monovolumen,173 km/h,12.3 s,5.2 l/100km,119g CO2/km,4157 mm / 1764 mm / 1723 mm,C,13.990€
69.983,2017,Gasolina,Málaga,4,Sí,Automático ,Blanco,Berlina,Mercedes-Benz,Clase C,AMG C 63 S Berlina,510 CV,Turismo,250 km/h,4 s,8.2 l/100km,192g CO2/km,4756 mm / 1839 mm / 1426 mm,C,52.990€
112.000,2016,Gasolina,Málaga,5,Sí,Manual ,Blanco,Berlina,Nissan,Qashqai,Qashqai 4x2 DIG-T 115 CV 360,115 CV,Todoterreno,185 km/h,10.9 s,5.6 l/100km,133g CO2/km,4377 mm / 1806 mm / 1590 mm,C,14.980€
54.966,2019,Gasolina,Málaga,5,Sí,Manual ,Gris,Berlina,Nissan,Qashqai,Qashqai Acenta DIG-T 103 kW (140 CV),140 CV,Todoterreno,193 km/h,10.5 s,5.3 l/100km,121g CO2/km,4394 mm / 1806 mm / 1590 mm,C,18.990€
79.476,2019,Diésel,Málaga,5,Sí,Manual ,Blanco,Berlina,Peugeot,208,208 5p Active 1.6 BlueHDi 100,100 CV,Turismo,187 km/h,10.7 s,3.5 l/100km,90g CO2/km,3973 mm / 1739 mm / 1460 mm,C,10.990€
82.967,2017,Gasolina,Málaga,5,Sí,Manual ,Gris,Berlina,Fiat,Panda,Panda Easy 1.2 51 kW (69 CV),69 CV,Turismo,164 km/h,14.2 s,5.1 l/100km,120g CO2/km,3653 mm / 1643 mm / 1551 mm,C,7.490€
60.948,2021,Híbrido (Gasolina),Zaragoza,3,Sí,Manual ,Blanco,Berlina,False,False,False,70 CV,False,False,False,False,False,False,False,12.490€
108.000,2020,Gasolina,Zaragoza,5,Sí,Manual ,Blanco,Todoterreno,KIA,Stonic,Stonic 1.0 T-GDi Concept Eco-Dynamics 73 kW (100 CV),100 CV,Todoterreno,179 km/h,10.8 s,5.3 l/100km,123g CO2/km,4140 mm / 1760 mm / 1520 mm,C,12.990€
129.000,2017,Diésel,Zaragoza,5,Sí,Manual ,Gris,Todoterreno,Peugeot,2008,2008 Active 1.6 e-HDi 92,100 CV,Todoterreno,181 km/h,11.5 s,4 l/100km,103g CO2/km,4159 mm / 1739 mm / 1570 mm,B,12.980€
35.439,2022,Gasolina,Zaragoza,5,Sí,Manual ,Gris,Berlina,Hyundai,i20,"i20 1.0 T-GDi 73,6 kW (100 CV) Tecno",100 CV,Turismo,188 km/h,10.8 s,5.9 l/100km,g CO2/km,4035 mm / 1734 mm / 1474 mm,C,14.990€
109.000,2018,Gasolina,Zaragoza,5,Sí,Manual ,Marrón,Monovolumen,Fiat,500L,500L 0.9 Turbo TwinAir 105 CV Start&Stop,105 CV,Monovolumen,180 km/h,12.3 s,4.8 l/100km,112g CO2/km,4147 mm / 1784 mm / 1665 mm,C,11.980€
38.000,2015,Gasolina,Zaragoza,5,Sí,Manual ,Rojo,Berlina,Skoda,Fabia,Fabia 1.2 60 CV Urban,69 CV,Turismo,155 km/h,16.5 s,5.9 l/100km,140g CO2/km,3992 mm / 1642 mm / 1498 mm,C,9.980€
73.884,2020,Diésel,Zaragoza,5,Sí,Manual ,Blanco,Todoterreno,Renault,Captur,Captur Limited Energy dCi 90 eco2,95 CV,Todoterreno,171 km/h,13.1 s,3.7 l/100km,95g CO2/km,4122 mm / 1778 mm / 1566 mm,C,16.590€
79.990,2019,Diésel,Zaragoza,5,Sí,Automático ,Blanco,Monovolumen,Ford,S-Max,S-MAX Titanium 2.0 TDCi 140 CV Powershift 7 plazas,150 CV,Monovolumen,193 km/h,10.9 s,6 l/100km,159g CO2/km,4772 mm / 1884 mm / 1660 mm,B,23.990€
84.530,2018,Diésel,Zaragoza,5,Sí,Automático ,Blanco,Berlina,BMW,4 Series,418d Gran Coupé Aut.,150 CV,Turismo,213 km/h,9.1 s,4.5 l/100km,119g CO2/km,4638 mm / 1825 mm / 1389 mm,B,24.490€
14.364,2023,Gasolina,Zaragoza,5,Sí,Automático ,Blanco,Todoterreno,Mg,HS,HS 1.5 Turbo Comfort AT,162 CV,Todoterreno,190 km/h,9.9 s,7.7 l/100km,g CO2/km,4574 mm / 1876 mm / 1664 mm,C,24.590€
123.730,2019,Diésel,Zaragoza,5,Sí,Automático ,Rojo,Familiar,Opel,Insignia,Insignia Grand Sport Selective Pro 1.6 CDTi Start & Stop 100 kW (136 CV) AT6,136 CV,Turismo,205 km/h,10.9 s,5.2 l/100km,141g CO2/km,4897 mm / 1863 mm / 1455 mm,C,14.990€
57.900,2020,Gasolina,Zaragoza,5,Sí,Manual ,Blanco,Berlina,Ford,Fiesta,Fiesta 5p ST-Line 1.0 EcoBoost 103 kW (140 CV) S/S,140 CV,Turismo,202 km/h,9 s,5.2 l/100km,112g CO2/km,4065 mm / 1735 mm / 1466 mm,C,14.790€
30.336,2022,Diésel,Zaragoza,5,Sí,Manual ,Azul,Berlina,Citroen,C3,C3 BlueHDi 100 S&S Shine,102 CV,Turismo,188 km/h,10.2 s,4.5 l/100km,90g CO2/km,3996 mm / 1749 mm / 1474 mm,C,13.880€
71.502,2020,Diésel,Zaragoza,5,Sí,Automático ,Gris,Familiar,Renault,Talisman,Talisman Sport Tourer Zen Blue dCi 118 kW (160 CV) EDC,160 CV,Turismo familiar,210 km/h,10.1 s,5.8 l/100km,130g CO2/km,4865 mm / 1868 mm / 1465 mm,C,18.880€
235.192,2018,Diésel,Parla,5,Sí,Automático ,Negro,Familiar,Volkswagen,Passat,Passat Variant Advance 2.0 TDI 140 CV DSG,150 CV,Turismo familiar,203 km/h,10.1 s,6.2 l/100km,163g CO2/km,4774 mm / 1820 mm / 1517 mm,B,13.250€
99.648,2015,Gasolina,Parla,5,Sí,Automático ,Blanco,Todoterreno,Peugeot,2008,2008 Active 1.2 PureTech 82 ETG5,82 CV,Todoterreno,171 km/h,15.9 s,4.8 l/100km,99g CO2/km,4159 mm / 1739 mm / 1570 mm,C,10.950€
85.200,2018,Diésel,Gijón,5,Sí,Manual ,Otros,Berlina,KIA,Ceed,cee'd 5p 1.4 CRDi WGT 90 CV Maracaná,90 CV,Turismo,170 km/h,13.5 s,4.3 l/100km,114g CO2/km,4310 mm / 1780 mm / 1470 mm,B,12.990€
105.000,2019,Gasolina,Huércal de Almería,5,Sí,Automático ,Blanco,Todoterreno,Porsche,Macan,Macan S,354 CV,Todoterreno,254 km/h,5.3 s,8.9 l/100km,204g CO2/km,4697 mm / 1923 mm / 1624 mm,C,58.990€
140.000,2016,Diésel,El Zabal,5,Sí,Manual ,Otros,Berlina,BMW,3 Series,318d Gran Turismo,150 CV,Turismo,210 km/h,9.3 s,4.5 l/100km,117g CO2/km,4824 mm / 1828 mm / 1508 mm,C,18.490€
10.664,2023,Gasolina,Gavá,5,Sí,Manual ,Gris,Berlina,Renault,Clio,Clio Intens TCe 74 kW (100 CV),90 CV,Turismo,187 km/h,11.8 s,5.2 l/100km,99g CO2/km,4050 mm / 1798 mm / 1440 mm,C,15.990€
56.000,2018,Gasolina,Badalona,5,Sí,Manual ,Gris,Berlina,Ford,Focus,Focus Sportbreak ST Plus 2.0 EcoBoost 250 CV,250 CV,Turismo familiar,248 km/h,6.6 s,7.2 l/100km,169g CO2/km,4566 mm / 1823 mm / 1505 mm,C,26.990€
47.395,2019,Híbrido (Gasolina),Paterna,5,Sí,Automático ,Rojo,Berlina,Toyota,COROLLA,Corolla hybrid 180H Advance,180 CV,Turismo,180 km/h,7.9 s,3.9 l/100km,89g CO2/km,4370 mm / 1790 mm / 1435 mm,ECO,22.990€
12.500,2021,Eléctrico,Asturias,5,Sí,Automático ,Gris,Berlina,Dacia,Spring,Spring Comfort Plus Electric 45 (33 kW),45 CV,Todoterreno,125 km/h,19.1 s,13.9 l/100km,0g CO2/km,3734 mm / 1579 mm / 1516 mm,Cero,14.990€
43.500,2021,Gasolina,Badalona,5,Sí,Manual ,Blanco,Todoterreno,SEAT,Arona,Arona 1.0 TSI 81 kW (110 CV) Start/Stop Xcellence,110 CV,Todoterreno,190 km/h,10.3 s,5.2 l/100km,g CO2/km,4138 mm / 1780 mm / 1552 mm,C,17.990€
137.000,2014,Gasolina,Palma,3,Sí,Manual ,Otros,Berlina,Volkswagen,Scirocco,Scirocco Hurricane 1.4 TSI 122 CV,122 CV,Coupé,200 km/h,9.7 s,6.4 l/100km,149g CO2/km,4256 mm / 1810 mm / 1404 mm,C,13.990€
27.501,2020,Gasolina,Vizcaya,5,Sí,Manual ,Otros,Todoterreno,Hyundai,TUCSON,Tucson 1.6 GDI 97 kW (131 CV) 4x2 SLE,132 CV,Todoterreno,182 km/h,11.5 s,6.9 l/100km,157g CO2/km,4480 mm / 1850 mm / 1645 mm,C,21.980€
70.817,2020,Híbrido (Gasolina),Paterna,5,Sí,Automático ,Blanco,Todoterreno,False,False,False,200 CV,False,False,False,False,False,False,False,31.490€
42.800,2020,Gasolina,Granollers,5,Sí,Manual ,Otros,Todoterreno,KIA,XCeed,XCeed 1.4 T-GDi Tech 103 kW (140 CV),140 CV,Todoterreno,200 km/h,9.4 s,6.7 l/100km,142g CO2/km,4395 mm / 1826 mm / 1495 mm,C,18.900€
70.000,2018,Gasolina,Collado Villalba,5,Sí,Manual ,Otros,Berlina,Nissan,Micra,Micra 1.0 52 kW (70 CV) Acenta,71 CV,Turismo, km/h, s,4.6 l/100km,103g CO2/km,3999 mm / 1743 mm / 1455 mm,C,10.890€
115.000,2018,Diésel,Collado Villalba,5,Sí,Manual ,Blanco,Todoterreno,Land Rover,Range Rover Evoque,Range Rover Evoque 5p 2.0 TD4 150 CV 4x4 HSE Dynamic,150 CV,Todoterreno,182 km/h,10.8 s,4.75 l/100km,125g CO2/km,4370 mm / 1900 mm / 1660 mm,C,20.890€
80.671,2020,Gasolina,Biscay,5,Sí,Manual ,Blanco,Berlina,Volkswagen,Polo,Polo 5p Advance 1.0 75 CV BMT,80 CV,Turismo,173 km/h,14.3 s,4.8 l/100km,108g CO2/km,3972 mm / 1682 mm / 1453 mm,C,13.980€
77.500,2021,Diésel,Cartagena,4,Sí,Manual ,Otros,Monovolumen,Peugeot,Traveller,Traveller Long Business BlueHDi 120 S&S,120 CV,Vehículo comercial,170 km/h,12 s,4.8 l/100km,128g CO2/km,5308 mm / 1920 mm / 1890 mm,C,29.790€
77.500,2021,Diésel,Cartagena,4,Sí,Manual ,Otros,Monovolumen,Peugeot,Traveller,Traveller Long Business BlueHDi 120 S&S,120 CV,Vehículo comercial,170 km/h,12 s,4.8 l/100km,128g CO2/km,5308 mm / 1920 mm / 1890 mm,C,29.790€
37.525,2018,Gasolina,Tarragona,5,Sí,Manual ,Blanco,Berlina,KIA,Rio,Rio 1.2 CVVT Concept,84 CV,Turismo,170 km/h,12.9 s,4.8 l/100km,109g CO2/km,4065 mm / 1725 mm / 1450 mm,C,12.990€
80.000,2019,Diésel,Granollers,5,Sí,Automático ,Negro,Todoterreno,DS,7,7 Crossback BlueHDi 130 Automático So Chic,130 CV,Todoterreno,195 km/h,10.7 s,3.8 l/100km,100g CO2/km,4570 mm / 1895 mm / 1620 mm,C,23.990€
31.811,2019,Diésel,Córdoba,5,Sí,Manual ,Negro,Berlina,BMW,1 Series,116d 5p,116 CV,Turismo,200 km/h,10.3 s,3.7 l/100km,97g CO2/km,4329 mm / 1765 mm / 1421 mm,C,19.990€
154.000,2015,Diésel,Reus,4,Sí,Automático ,Blanco,Berlina,Jaguar,XF,XF 2.2 Diesel Luxury,200 CV,Turismo,225 km/h,8.5 s,5.4 l/100km,149g CO2/km,4961 mm / 1877 mm / 1460 mm,B,13.990€
84.985,2018,Gasolina,Ourense,5,Sí,Manual ,Otros,Berlina,False,False,False,90 CV,False,False,False,False,False,False,False,13.890€
59.999,2018,Gasolina,Mataró,5,Sí,Manual ,Blanco,Berlina,Opel,Corsa,Corsa 5p Excellence 1.4 Turbo 100 CV Start&Stop,100 CV,Turismo,185 km/h,11 s,5.1 l/100km,120g CO2/km,4021 mm / 1746 mm / 1481 mm,C,12.990€
97.129,2019,Híbrido (Gasolina),Vigo,5,Sí,Automático ,Otros,Berlina,Toyota,Auris,Auris 5p Híbrido 1.8 HSD Active,136 CV,Turismo,180 km/h,11.4 s,3.8 l/100km,89g CO2/km,4245 mm / 1760 mm / 1510 mm,ECO,16.790€
16.600,2021,Diésel,Vilagarcía de Arousa,2,Sí,Automático ,Otros,Cabriolet,BMW,2 Series,218d xDrive Gran Tourer Aut. 7 plazas,150 CV,Monovolumen,205 km/h,9.1 s,4.7 l/100km,124g CO2/km,4556 mm / 1800 mm / 1608 mm,C,34.790€
55.671,2022,Gasolina,Puebla de Sancho Pérez,5,Sí,Manual ,Rojo,Todoterreno,KIA,Sportage,Sportage Drive 1.6 T-GDI MHEV 110 kW (150 CV) 4x2,150 CV,Todoterreno,189 km/h,10.3 s,6.5 l/100km,g CO2/km,4515 mm / 1865 mm / 1645 mm,ECO,24.480€
111.434,2015,Diésel,Sevilla,5,Sí,Automático ,Blanco,Todoterreno,Audi,Q7,Q7 3.0 TDI 204 CV quattro tiptronic 8 vel. DPF Advanced Edition 7 plazas,204 CV,Todoterreno,202 km/h,9.1 s,7.2 l/100km,189g CO2/km,5089 mm / 1983 mm / 1737 mm,B,36.490€
22.500,2022,Diésel,Sant Boi de Llobregat,5,Sí,Automático ,Rojo,Todoterreno,Alfa Romeo,Stelvio,Stelvio 2.2 Diesel 154 kW (210 CV) Estrema Q4,210 CV,Todoterreno,215 km/h,6.6 s,6.2 l/100km,g CO2/km,4687 mm / 1903 mm / 1693 mm,C,41.990€
7.900,2023,Gasolina,Granollers,5,Sí,Manual ,Otros,Berlina,Renault,Clio,Clio Intens TCe 74 kW (100 CV),90 CV,Turismo,187 km/h,11.8 s,5.2 l/100km,99g CO2/km,4050 mm / 1798 mm / 1440 mm,C,15.980€
94.958,2018,Diésel,Santander,2,Sí,Automático ,Blanco,Deportivo,Audi,A5,A5 Coupé 2.0 TDI 110 kW (150 CV) S tronic,150 CV,Coupé,219 km/h,8.7 s,4.2 l/100km,109g CO2/km,4673 mm / 1846 mm / 1371 mm,C,26.990€
12.850,2023,Gasolina,Granollers,5,Sí,Manual ,Otros,Todoterreno,Mg,HS,HS 1.5 Turbo Comfort,162 CV,Todoterreno,190 km/h,9.9 s,7.4 l/100km,g CO2/km,4574 mm / 1876 mm / 1664 mm,C,22.690€
60.954,2019,Gasolina,Cabrera de Mar,5,Sí,Automático ,Blanco,Todoterreno,Volkswagen,T-Roc,T-Roc Advance Style 1.5 TSI 110 kW (150 CV) DSG 7 vel.,150 CV,Todoterreno,205 km/h,8.4 s,5.6 l/100km,127g CO2/km,4234 mm / 1819 mm / 1573 mm,C,25.990€
30.702,2021,Diésel,Vic,5,Sí,Automático ,Negro,Todoterreno,Peugeot,5008,5008 GT Line 1.5 BlueHDi 130 S&S EAT8,130 CV,Todoterreno,187 km/h,13.5 s,4.1 l/100km,108g CO2/km,4641 mm / 1844 mm / 1651 mm,C,29.420€
121.271,2018,Gasolina,Cabrera de Mar,5,Sí,Manual ,Negro,Todoterreno,Opel,Mokka X,Mokka X Excellence 1.4 Turbo 103 kW (140 CV) 4x2 Start/Stop,140 CV,Todoterreno,196 km/h,9.9 s,6 l/100km,140g CO2/km,4275 mm / 1781 mm / 1658 mm,C,13.490€
123.000,2016,Diésel,Gijón,5,Sí,Automático ,Otros,Familiar,SEAT,Leon,León ST 1.6 TDI 105 CV Start&Stop Style DSG 7 vel.,110 CV,Turismo familiar,191 km/h,11 s,3.9 l/100km,102g CO2/km,4535 mm / 1816 mm / 1454 mm,C,15.990€
9.499,2022,Híbrido (Gasolina),Cabrera de Mar,5,Sí,Automático ,Negro,Todoterreno,False,False,False,180 CV,False,False,False,False,False,False,False,31.990€
73.322,2021,Híbrido (Gasolina),Leganés,5,Sí,Manual ,Blanco,Todoterreno,False,False,False,115 CV,False,False,False,False,False,False,False,20.990€
