KM,Año,Combustible,Ciudad,Nº puertas,Garantía,Cambio,Color,Carrocería,Marca,Modelo,Versión,Potencia,Tipo de carrocería,Velocidad máxima,Aceleracion,Consumo,Emisiones,Dimensiones,Etiqueta medioambiental,Precio
123.200,2009,Diésel,Alpedrete,5,Sí,Manual ,Rojo,puertas:,Suzuki,SX4,SX4 1.6 Diesel GL 4x2 Off Road Line,88 CV,Todoterreno,175 km/h,12.2 s,5.3 l/100km,139g CO2/km,4140 mm / 1755 mm / 1620 mm,B,6.500€
100.700,2018,Diésel,Alpedrete,5,Sí,Manual ,Negro,4x4,BMW,X2,X2 sDrive16d,110 CV,Todoterreno,192 km/h,11.5 s,4.1 l/100km,106g CO2/km,4360 mm / 1824 mm / 1526 mm,C,20.900€
43.000,2019,Diésel,Jeréz de la Frontera,5,Sí,Manual ,Rojo,SUV,Peugeot,2008,2008 Active 1.6 e-HDi 92,99 CV,Todoterreno,181 km/h,11.5 s,4 l/100km,103g CO2/km,4159 mm / 1739 mm / 1570 mm,B,15.490€
99,2023,Eléctrico,Jeréz de la Frontera,5,Sí,Automático ,Gris,SUV,Hyundai,IONIQ 5,IONIQ 5 168 kW (228 CV) 77 kWh RWD Energy,228 CV,Todoterreno,185 km/h,7.3 s,18 l/100km,0g CO2/km,4635 mm / 1890 mm / 1605 mm,Cero,47.990€
25,2023,Eléctrico,Jeréz de la Frontera,5,Sí,Automático ,False,SUV,Hyundai,Kona,Kona Eléctrico 150 kW (204 CV) 64 kWh Tecno,204 CV,Todoterreno,167 km/h,7.9 s,14.7 l/100km,0g CO2/km,4205 mm / 1800 mm / 1570 mm,Cero,39.990€
73.600,2019,Gasolina,Jeréz de la Frontera,5,Sí,Manual ,Negro,Ranchera,Renault,Megane,Mégane Berlina Zen Tce GPF 103 kW (140 CV),140 CV,Turismo,205 km/h,9.5 s,5.5 l/100km,128g CO2/km,4359 mm / 1814 mm / 1447 mm,C,15.990€
24.862,2022,Diésel,Lugo,5,Sí,Automático ,Azul,puertas:,Hyundai,Staria,Staria Tecno 2.2 CRDi 130 kW (177 CV) AT 9 plazas,177 CV,Monovolumen,185 km/h,12.4 s,8.2 l/100km,g CO2/km,5253 mm / 1997 mm / 1990 mm,C,43.900€
36.120,2022,Gasolina,Oviedo,5,Sí,Manual ,Rojo,SUV,Hyundai,TUCSON,Tucson N Line 1.6 T-GDI 48V 110 kW (150 CV),150 CV,Todoterreno,189 km/h,10.3 s,6.7 l/100km,g CO2/km,4500 mm / 1865 mm / 1650 mm,ECO,24.990€
7.217,2023,Gasolina,Oviedo,5,Sí,Manual ,Rojo,Coche,Hyundai,i10,i10 1.0 MPi 66 CV Klass,67 CV,Turismo,155 km/h,14.9 s,4.7 l/100km,108g CO2/km,3665 mm / 1660 mm / 1500 mm,C,13.990€
13.838,2023,Gasolina,Alcalá de Henares,5,Sí,Manual ,Amarillo,Coche,Peugeot,208,208 Allure Pack PureTech 100 S&S,101 CV,Turismo,188 km/h,9.9 s,5.1 l/100km,g CO2/km,4055 mm / 1745 mm / 1430 mm,C,17.990€
71.934,2020,Gasolina,Xátiva,5,Sí,Manual ,Azul,Compacto,Volkswagen,Golf,Golf Life 1.0 TSI 81 kW (110 CV),110 CV,Turismo,202 km/h,10.2 s,5.4 l/100km,g CO2/km,4284 mm / 1789 mm / 1456 mm,C,19.595€
70.594,2021,Diésel,Xátiva,5,Sí,Manual ,Azul,Compacto,Peugeot,308,308 SW Allure BlueHDi 130 S&S,130 CV,Turismo familiar,203 km/h,10 s,4.6 l/100km,94g CO2/km,4585 mm / 1804 mm / 1470 mm,C,15.795€
133.445,2020,Diésel,Xátiva,5,Sí,Manual ,Blanco,Compacto,Peugeot,308,308 SW Allure BlueHDi 130 S&S,130 CV,Turismo familiar,203 km/h,10 s,4.6 l/100km,94g CO2/km,4585 mm / 1804 mm / 1470 mm,C,13.495€
146.769,2014,Diésel,Xátiva,3,Sí,Manual ,Blanco,Industrial,Peugeot,Bipper,Bipper Tepee Outdoor 1.3 HDi 75,75 CV,Vehículo comercial,155 km/h,16.6 s,4.2 l/100km,119g CO2/km,3970 mm / 1704 mm / 1803 mm,B,7.650€
132.493,2015,Diésel,Xátiva,5,Sí,Manual ,Blanco,Berlina,Renault,Megane,Mégane Sport Tourer Limited Energy dCi 95,95 CV,Turismo familiar,190 km/h,12.3 s,3.6 l/100km,93g CO2/km,4567 mm / 1804 mm / 1507 mm,C,9.495€
31.000,2021,Gasolina,Cádiz,5,Sí,Automático ,Azul,puertas:,Ford,PUMA,Puma ST-Line X 1.0 EcoBoost 92 kW (125 CV) Aut.,125 CV,Todoterreno,187 km/h,10.2 s,6.1 l/100km,g CO2/km,4207 mm / 1805 mm / 1534 mm,C,23.990€
47.500,2021,Gasolina,Cádiz,5,No,Manual ,Blanco,puertas:,Ford,PUMA,Puma Titanium 1.0 EcoBoost MHEV 92 kW (125 CV),125 CV,Todoterreno,191 km/h,9.8 s,5.6 l/100km,g CO2/km,4186 mm / 1805 mm / 1536 mm,ECO,19.990€
33.000,2021,Gasolina,Cádiz,5,Sí,Manual ,Blanco,puertas:,Ford,Focus,Focus 3p Trend 1.8,125 CV,Turismo,198 km/h,10.2 s,7.6 l/100km,g CO2/km,4152 mm / 1699 mm / 1430 mm,B,19.990€
100.903,2017,Diésel,Cádiz,4,Sí,Manual ,Blanco,puertas:,False,False,False,75 CV,False,False,False,False,False,False,False,9.990€
145.900,2016,Diésel,Cádiz,5,Sí,Manual ,Plata,puertas:,Ford,S-Max,S-MAX Titanium S 2.0 TDCi 163 CV 5 plazas,150 CV,Monovolumen,205 km/h,9.5 s,5.6 l/100km,149g CO2/km,4772 mm / 1884 mm / 1660 mm,B,14.990€
98.300,2021,Diésel,Cádiz,4,Sí,Automático ,Naranja,puertas:,Ford,Ranger,Ranger Doble Cabina Wildtrack 3.2 TDCi 147 kW (200 CV) 4x4 Aut.,213 CV,Pick Up,175 km/h,10.6 s,8.8 l/100km,231g CO2/km,5362 mm / 1860 mm / 1815 mm,C,39.990€
26.896,2021,Eléctrico,Cádiz,5,Sí,Manual ,Rojo,puertas:,False,False,False,351 CV,False,False,False,False,False,False,False,59.990€
22.791,2021,Eléctrico,Cádiz,5,No,Manual ,Blanco,puertas:,False,False,False,351 CV,False,False,False,False,False,False,False,59.990€
19.300,2022,Híbrido,Cádiz,5,Sí,Automático ,Plata,puertas:,False,False,False,152 CV,False,False,False,False,False,False,False,31.990€
12.550,2022,Gasolina,Cádiz,5,Sí,Manual ,Plata,puertas:,Ford,KUGA,Kuga ST-Line 1.5 EcoBoost Auto-Start-Stop 110 kW (150 CV) 4x2,150 CV,Todoterreno,195 km/h,9.7 s,7.2 l/100km,157g CO2/km,4541 mm / 1856 mm / 1703 mm,C,32.990€
99.100,2017,Gasolina,Cádiz,5,Sí,Manual ,Marrón,puertas:,Ford,Focus,Focus Sportbreak Trend 1.0 EcoBoost  Auto-Start-Stop 125 CV,125 CV,Turismo familiar,193 km/h,11.5 s,5.1 l/100km,117g CO2/km,4556 mm / 1823 mm / 1505 mm,C,12.990€
71.843,2016,Diésel,Arre,5,No,Manual ,Gris,Todoterreno/SUV,Nissan,Qashqai,Qashqai+2 360 1.6 dCi 130 CV Stop&Start 4x4,130 CV,Todoterreno,189 km/h,11.6 s,5.3 l/100km,139g CO2/km,4541 mm / 1780 mm / 1645 mm,B,17.600€
140.934,2006,Diésel,Albacete,3,No,Manual ,Negro,Todoterreno/SUV,Suzuki,Grand Vitara,Grand Vitara 3p 1.9 DDiS JX,129 CV,Todoterreno,170 km/h,12.8 s,7.4 l/100km,195g CO2/km,4005 mm / 1810 mm / 1695 mm,B,11.990€
65.921,2018,Híbrido,Albacete,5,No,Automático ,Blanco,Berlina,Toyota,Yaris,Yaris 5p Hybrid Active,100 CV,Turismo,165 km/h,11.8 s,3.3 l/100km,70g CO2/km,3950 mm / 1695 mm / 1510 mm,ECO,16.990€
1,2023,Gasolina,Barakaldo,5,No,Manual ,Rojo,Berlina,Opel,Corsa,Corsa 1.2T 74 kW (100 CV) Edition,100 CV,Turismo,188 km/h,9.9 s,5.1 l/100km,g CO2/km,4060 mm / 1765 mm / 1435 mm,C,17.900€
30.000,2022,Diésel,Denia,5,No,Automático ,Gris,Todoterreno/SUV,Citroen,C3 Aircross,C3 Aircross BlueHDi 120 EAT6 Shine,120 CV,Todoterreno,188 km/h,10.1 s,5.1 l/100km,g CO2/km,4155 mm / 1765 mm / 1648 mm,C,18.900€
60,2023,Híbrido,Badajoz,5,No,Automático ,Azul,Todoterreno/SUV,Peugeot,3008,3008 GT Hybrid 136 e-DCS6,136 CV,Todoterreno,200 km/h,10 s,5.6 l/100km,g CO2/km,4447 mm / 1841 mm / 1624 mm,ECO,34.900€
293.816,2006,Diésel,Utebo,False,Sí,Automático ,Plata,berlina,Audi,A6,A6 Avant 3.0 TDI 225 CV quattro tiptronic 6 vel.,225 CV,Turismo familiar,240 km/h,7.6 s,8.4 l/100km,226g CO2/km,4933 mm / 1855 mm / 1463 mm,B,6.490€
201.759,2006,Diésel,Utebo,False,Sí,Manual ,Azul,monovolumen,Opel,Meriva,Meriva Cosmo 1.7 CDTi 100 CV,100 CV,Monovolumen,178 km/h,13.4 s,5.2 l/100km,140g CO2/km,4052 mm / 1694 mm / 1624 mm,B,4.490€
33.000,2022,Diésel,Tarragona,4,No,Automático ,Negro obsidiana,puertas:,False,False,False,136 CV,False,False,False,False,False,False,False,42.955€
1.250,2022,Híbrido Enchufable (PHEV),Tarragona,5,No,Automático ,Manufaktur rojo jacinto,4x4,Mercedes-Benz,GLC,GLC 350 e 4MATIC Coupé,306 CV,Todoterreno,235 km/h,5.9 s,2.5 l/100km,59g CO2/km,4732 mm / 1890 mm / 1622 mm,ECO,87.300€
8.550,2023,Híbrido,Córdoba,5,No,Automático ,Plata iridio metalizado,Berlina,False,False,False,163 CV,False,False,False,False,False,False,False,48.400€
15,2024,Eléctrico,Ciudad Real,4,No,Automático ,Azul sodalita metalizado,Berlina,Mercedes-Benz,EQE,EQE 350 4MATIC SUV Edition,292 CV,Todoterreno,210 km/h,6.6 s,19.1 l/100km,0g CO2/km,4863 mm / 1940 mm / 1686 mm,Cero,87.900€
1.604,2024,Eléctrico,Ciudad Real,5,No,Automático ,Azul denim metalizado,4x4,Mercedes-Benz,EQB,EQB 250,190 CV,Todoterreno,160 km/h,8.9 s,16.5 l/100km,0g CO2/km,4684 mm / 1834 mm / 1667 mm,Cero,49.900€
2.459,2024,Eléctrico,Ciudad Real,5,No,Automático ,Negro cosmos metalizado,4x4,Mercedes-Benz,EQA,EQA 250,190 CV,Todoterreno,160 km/h,8.9 s,17.9 l/100km,0g CO2/km,4463 mm / 1834 mm / 1620 mm,Cero,53.900€
12,2020,Eléctrico,Ciudad Real,4,No,Automático ,Obsidianschwarz metallic,Vehículo,False,False,False,204 CV,False,False,False,False,False,False,False,63.000€
58.516,2019,Diésel,Ciudad Real,4,No,Manual ,Blanco ártico,Vehículo,Mercedes-Benz,Citan,Citan Tourer Select 108 CDI,90 CV,Vehículo comercial, km/h, s,4.6 l/100km,121g CO2/km,4321 mm / 1829 mm / 1809 mm,C,17.900€
938,2024,Híbrido,Figueres,5,No,Automático ,Interstellar grey m,Berlina,KIA,Niro,Niro 1.6 HEV Emotion,141 CV,Todoterreno,162 km/h,11.5 s,4.4 l/100km,101g CO2/km,4355 mm / 1805 mm / 1535 mm,ECO,30.495€
15,2024,Gasolina,Figueres,5,No,Manual ,Cassa white s,Berlina,KIA,Ceed,cee'd SW 1.0 T-GDi Tech Eco-Dynamics 88kW (120 CV),120 CV,Turismo familiar,187 km/h,11.4 s,5.2 l/100km,120g CO2/km,4505 mm / 1780 mm / 1485 mm,C,23.495€
14,2024,Gasolina,Figueres,5,No,Manual ,Cassa white s,Berlina,KIA,Ceed,cee'd SW 1.0 T-GDi Tech Eco-Dynamics 88kW (120 CV),120 CV,Turismo familiar,187 km/h,11.4 s,5.2 l/100km,120g CO2/km,4505 mm / 1780 mm / 1485 mm,C,23.975€
43.475,2022,Híbrido,Maliaño,5,No,Automático ,High-tech-silver - metall,Familiar,False,False,False,163 CV,False,False,False,False,False,False,False,37.995€
70.220,2018,Diésel,Siero,2,No,Automático ,Negro obsidiana,Cabrio,Mercedes-Benz,Clase E,E 220 d Cabrio,194 CV,Descapotable,237 km/h,7.7 s,4.5 l/100km,116g CO2/km,4826 mm / 1860 mm / 1428 mm,C,43.900€
80.968,2019,Diésel,Siero,5,No,Manual ,Rojo júpiter,puertas:,Mercedes-Benz,Clase B,B 200 CDI,150 CV,Monovolumen,200 km/h,9.6 s,5.2 l/100km,136g CO2/km,4273 mm / 1777 mm / 1603 mm,B,29.500€
16.248,2023,Diésel,Jerez de la Frontera,5,No,Manual ,Blanco artico,Monovolumen,Mercedes-Benz,Citan,Citan Tourer Base 110 CDI 70 kW (95 CV),95 CV,Vehículo comercial,164 km/h,15.5 s,5.3 l/100km,g CO2/km,4498 mm / 1859 mm / 1811 mm,C,27.830€
28.950,2023,Diésel,Perillo,5,No,Automático ,Gris montaÑa,Berlina,Mercedes-Benz,Clase A,A 180 d,116 CV,Turismo,202 km/h,9.7 s,5.1 l/100km,g CO2/km,4428 mm / 1796 mm / 1440 mm,C,37.900€
7.500,2023,Gasolina,Barcelona,5,No,Automático ,Carpathian grey,4x4,Land Rover,Range Rover,Range Rover SWB P530 SV,530 CV,Todoterreno,250 km/h,4.6 s,11.6 l/100km,g CO2/km,5052 mm / 2047 mm / 1870 mm,C,237.900€
32.800,2021,Diésel,San Salvador de Muxa,4,No,Automático ,Blanco,Pick,Mitsubishi,L200,L200 Doble Cabina 220 DI-D M-Pro 6AT,150 CV,Pick Up,171 km/h,13.5 s,9.5 l/100km,203g CO2/km,5225 mm / 1815 mm / 1780 mm,C,33.759€
36.966,2022,Diésel,Barcelona,5,No,Automático ,Blanco polar,4x4,Mercedes-Benz,Clase C,C 300 CDI BlueEFFICIENCY 4MATIC Estate,220 CV,Turismo familiar,242 km/h,6.5 s,7.2 l/100km,191g CO2/km,4606 mm / 1770 mm / 1459 mm,B,49.400€
3.000,0,Diésel,La Campiña,5,No,Automático ,Azul espectra,Berlina,Mercedes-Benz,Clase A,A 200 d,150 CV,Turismo,220 km/h,8.3 s,4.9 l/100km,g CO2/km,4428 mm / 1796 mm / 1440 mm,C,46.900€
33.000,2022,Diésel,Granollers,4,No,Automático ,Negro obsidiana,Vehículo,False,False,False,136 CV,False,False,False,False,False,False,False,42.955€
46.000,2022,Diésel,Granollers,4,No,Automático ,Negro obsidiana,Vehículo,False,False,False,136 CV,False,False,False,False,False,False,False,42.955€
15,2024,Gasolina,Ibiza,2,No,Automático ,Plata hightech,puertas:,Mercedes-Benz,CLE,CLE 300 4MATIC Coupé,258 CV,Coupé,250 km/h,6.2 s,7 l/100km,g CO2/km,4850 mm / 1860 mm / 1428 mm,ECO,76.000€
10.912,2023,Diésel,Burgos,4,No,Automático ,Negro cosmos metalizado,puertas:,Mercedes-Benz,CLA,CLA 200 d 4MATIC Coupé 7G-DCT,150 CV,Turismo,216 km/h,9 s,4.8 l/100km,123g CO2/km,4630 mm / 1777 mm / 1432 mm,C,42.700€
12.000,2023,Híbrido,Gandia,5,No,Manual ,Blanco,Berlina,False,False,False,90 CV,False,False,False,False,False,False,False,18.600€
8.963,2023,Diésel,Murcia,5,No,Automático ,Blanco polar,puertas:,Mercedes-Benz,Clase B,B 200 d 8G-DCT,150 CV,Monovolumen,219 km/h,8.3 s,4.4 l/100km,115g CO2/km,4419 mm / 1796 mm / 1562 mm,C,37.900€
10.500,2023,Diésel,Barcelona,5,No,Automático ,Blanco puro,4x4,Volkswagen,T-Roc,T-Roc Advance Style 2.0 TDI 110 kW (150 CV) DSG 7 vel.,150 CV,Todoterreno,205 km/h,8.8 s,4.9 l/100km,g CO2/km,4234 mm / 1819 mm / 1573 mm,C,35.600€
5.500,2023,Diésel,Barcelona,5,No,Automático ,Gris indy,4x4,Volkswagen,T-Roc,T-Roc Advance Style 2.0 TDI 110 kW (150 CV) DSG 7 vel.,150 CV,Todoterreno,205 km/h,8.8 s,4.9 l/100km,g CO2/km,4234 mm / 1819 mm / 1573 mm,C,35.600€
5.500,2023,Diésel,Barcelona,5,No,Automático ,Blanco puro,4x4,Volkswagen,T-Roc,T-Roc Advance Style 2.0 TDI 110 kW (150 CV) DSG 7 vel.,150 CV,Todoterreno,205 km/h,8.8 s,4.9 l/100km,g CO2/km,4234 mm / 1819 mm / 1573 mm,C,35.600€
20.541,2023,Gasolina,Barcelona,5,No,Manual ,Plata reflex,4x4,Volkswagen,T-Cross,T-Cross Sport 1.0 TSI 81 kW (110 CV),110 CV,Todoterreno,189 km/h,10.8 s,5.8 l/100km,g CO2/km,4108 mm / 1782 mm / 1584 mm,C,22.950€
26.500,2022,Diésel,Málaga,5,No,Automático ,Selenitgrey - metallic pa,puertas:,Mercedes-Benz,GLE,GLE 250 d 4MATIC,194 CV,Todoterreno,210 km/h,8.6 s,5.9 l/100km,155g CO2/km,4819 mm / 1935 mm / 1796 mm,C,85.950€
104.000,2020,Diésel,Gijón,5,Sí,Manual ,Gris,puertas:,Ford,Focus,Focus Sportbreak Trend+ 1.5 TDCi 88 kW (120 CV),120 CV,Turismo familiar,193 km/h,10.7 s,3.8 l/100km,105g CO2/km,4556 mm / 1823 mm / 1505 mm,C,13.900€
58.000,2019,Gasolina,Cabanas Salcedo,5,Sí,Triptronic ,Artic white,SUV,False,False,False,122 CV,False,False,False,False,False,False,False,19.900€
53.117,2018,Gasolina,Cabanas Salcedo,5,Sí,Triptronic ,Moonlight white,Berlina,Infiniti,Q30,Q30 1.6tc Premium 7DCT,156 CV,Turismo,215 km/h,8.9 s,5.8 l/100km,134g CO2/km,4425 mm / 1805 mm / 1495 mm,C,18.900€
10,2023,Gasolina,Leganés,5,No,Manual ,Blanco,Sedan,Citroen,C3,C3 PureTech 83 S&S YOU!,83 CV,Turismo,166 km/h,13.3 s,5.5 l/100km,g CO2/km,3996 mm / 1749 mm / 1474 mm,C,12.900€
10,2023,Gasolina,Leganés,5,No,Manual ,Azul,Sedan,Citroen,C3,C3 PureTech 83 Shine,83 CV,Turismo,169 km/h,13.3 s,5.7 l/100km,99g CO2/km,3996 mm / 1749 mm / 1474 mm,C,14.900€
10,2023,Gasolina,Leganés,5,No,Manual ,Gris,Sedan,Citroen,C3,C3 PureTech 83 Shine,83 CV,Turismo,169 km/h,13.3 s,5.7 l/100km,99g CO2/km,3996 mm / 1749 mm / 1474 mm,C,14.900€
10,2023,Gasolina,Leganés,5,No,Manual ,Azul,Sedan,Citroen,C3,C3 PureTech 83 S&S Max,83 CV,Turismo,169 km/h,13.3 s,5.5 l/100km,g CO2/km,3996 mm / 1749 mm / 1474 mm,C,14.900€
10,2023,Gasolina,Leganés,5,No,Manual ,Gris,Sedan,Citroen,C3,C3 PureTech 83 S&S Max,83 CV,Turismo,169 km/h,13.3 s,5.5 l/100km,g CO2/km,3996 mm / 1749 mm / 1474 mm,C,14.900€
10,2023,Gasolina,Leganés,5,No,Manual ,Beige,Sedan,Citroen,C3,C3 PureTech 83 S&S Max,83 CV,Turismo,169 km/h,13.3 s,5.5 l/100km,g CO2/km,3996 mm / 1749 mm / 1474 mm,C,14.900€
10,2023,Gasolina,Leganés,5,No,Manual ,Blanco,Sedan,Citroen,C3,C3 PureTech 83 S&S C-Series,83 CV,Turismo,169 km/h,13.3 s,5.8 l/100km,g CO2/km,3996 mm / 1749 mm / 1474 mm,C,13.900€
10,2023,Gasolina,Leganés,5,No,Manual ,Negro,Sedan,Citroen,C3,C3 PureTech 83 S&S C-Series,83 CV,Turismo,169 km/h,13.3 s,5.8 l/100km,g CO2/km,3996 mm / 1749 mm / 1474 mm,C,13.900€
181.000,2015,Diésel,Toledo,5,Sí,Automático ,Blanco,Berlina,SEAT,Leon,León ST 2.0 TDI 184 CV Start&Stop FR DSG 6 vel.,184 CV,Turismo familiar,226 km/h,7.8 s,4.7 l/100km,122g CO2/km,4543 mm / 1816 mm / 1439 mm,C,17.990€
164.000,2018,Diésel,Toledo,5,Sí,Manual ,Negro,Berlina,Opel,Astra,Astra 5p Excellence 1.6 CDTI Start/Stop 136 CV,136 CV,Turismo,200 km/h,10.3 s,3.9 l/100km,104g CO2/km,4419 mm / 1814 mm / 1510 mm,B,9.990€
136.000,2014,Gasolina,Toledo,5,Sí,Automático ,Blanco,Berlina,Mercedes-Benz,Clase A,A 45 AMG 4MATIC,360 CV,Turismo,250 km/h,4.6 s,6.9 l/100km,161g CO2/km,4359 mm / 1780 mm / 1417 mm,C,27.990€
202.000,2012,Diésel,Toledo,5,Sí,Automático ,Blanco,Todoterreno,Mazda,CX-5,CX-5 2.2 D 150 CV 4WD Luxury Aut.,150 CV,Todoterreno,194 km/h,10.2 s,5.5 l/100km,144g CO2/km,4555 mm / 1840 mm / 1670 mm,B,11.490€
78.000,2015,Diésel,Les Franqueses,5,Sí,Secuencial ,Plata,Deportivo,BMW,4 Series,420d Gran Coupé,190 CV,Turismo,240 km/h,7.5 s,4.2 l/100km,111g CO2/km,4638 mm / 1825 mm / 1389 mm,C,27.500€
23.500,2021,Gasolina,Badajoz,5,Sí,Automático ,Gris,Familiar,Mercedes-Benz,CLA,AMG A 45 S 4MATIC+,421 CV,Turismo,270 km/h,3.9 s,8.3 l/100km,192g CO2/km,4445 mm / 1850 mm / 1412 mm,C,71.900€
147.740,2017,Diésel,Badajoz,2,Sí,Automático ,Gris,Deportivo,Mercedes-Benz,Clase E,E 350 BlueTEC Cabrio,258 CV,Descapotable,250 km/h,6.7 s,5.6 l/100km,149g CO2/km,4703 mm / 1786 mm / 1398 mm,B,34.900€
23.750,2022,Diésel,Sevilla,5,Sí,Automático ,Gris,Todoterreno,Land Rover,Range Rover Evoque,Range Rover Evoque D165 AWD Auto MHEV R-Dynamic S,163 CV,Todoterreno,199 km/h,9.8 s,6.5 l/100km,g CO2/km,4371 mm / 1904 mm / 1649 mm,ECO,43.900€
139.526,2018,Diésel,Alcalá de Henares,5,Sí,Manual ,Blanco,Berlina,Renault,Clio,Clio 5p Business 1.5 dCi 70cv eco2,75 CV,Turismo,162 km/h,15.2 s,4.6 l/100km,120g CO2/km,3986 mm / 1707 mm / 1496 mm,B,8.990€
92.000,2017,Diésel,Riells i Viabrea (pol. Ind),4,Sí,Manual ,Blanco,Furgoneta,Renault,Trafic,Trafic Combi 9 Corto dCi 90,95 CV,Vehículo comercial,150 km/h,21.6 s,7.3 l/100km,190g CO2/km,4782 mm / 1904 mm / 1954 mm,B,29.000€
97.300,2017,Diésel,Riells i Viabrea (pol. Ind),5,Sí,Automático ,Gris,Utilitario,DS,5,5 BlueHDi 180 S&S EAT6 Performance Line,180 CV,Turismo,220 km/h,9.2 s,4.4 l/100km,114g CO2/km,4530 mm / 1871 mm / 1505 mm,C,19.000€
86.000,2021,Híbrido (Gasolina),Teo,5,Sí,Automático ,Rojo,Todoterreno,False,False,False,253 CV,False,False,False,False,False,False,False,39.900€
79.000,2020,Híbrido (Gasolina),Teo,5,Sí,Automático ,Blanco,Todoterreno,False,False,False,253 CV,False,False,False,False,False,False,False,37.900€
60.000,2021,Diésel,Teo,4,Sí,Manual ,Blanco,Vehículo,False,False,False,135 CV,False,False,False,False,False,False,False,22.231€
30.000,2020,Diésel,Teo,4,Sí,Manual ,Blanco,Vehículo,False,False,False,135 CV,False,False,False,False,False,False,False,28.016€
120.000,2019,Diésel,Teo,4,Sí,Manual ,Blanco,Vehículo,Fiat,Ducato,Ducato Panorama Corto 2.3 Multijet 130,130 CV,Vehículo comercial,155 km/h, s,7.1 l/100km,186g CO2/km,4963 mm / 2050 mm / 2254 mm,B,20.890€
41.600,2021,Híbrido (Diésel),Zaratán,False,Sí,Automático ,Gris,Berlina,False,False,False,162 CV,False,False,False,False,False,False,False,39.600€
26.026,2020,Híbrido (Gasolina),Málaga Capital,4,Sí,Automático ,Beige,Sedan,Lexus,ES,ES 300h F SPORT,217 CV,Turismo,180 km/h,8.9 s,4.6 l/100km,106g CO2/km,4975 mm / 1865 mm / 1445 mm,ECO,37.900€
49.453,2019,Gasolina,Paterna,5,Sí,Manual ,Azul,Todoterreno,Volvo,XC40,XC40 Business Plus T3,,Todoterreno,200 km/h,9.3 s,6.3 l/100km,142g CO2/km,4425 mm / 1863 mm / 1652 mm,C,27.500€
37.454,2022,Híbrido (Gasolina),Paterna,5,Sí,Automático ,Negro,Berlina,Toyota,COROLLA,Corolla 125H Active Tech,,Turismo,180 km/h,10.9 s,3.3 l/100km,76g CO2/km,4370 mm / 1790 mm / 1435 mm,ECO,24.900€
75.000,2017,Diésel,Sant Boi de Llobregat,5,Sí,Manual ,Naranja,Todoterreno,SEAT,Ateca,Ateca 2.0 TDI 150 CV 4Drive Start&Stop Xcellence Premium,150 CV,Todoterreno,196 km/h,9 s,5.1 l/100km,129g CO2/km,4363 mm / 1841 mm / 1611 mm,C,20.900€
