KM,Año,Combustible,Ciudad,Nº puertas,Garantía,Cambio,Color,Carrocería,Marca,Modelo,Versión,Potencia,Tipo de carrocería,Velocidad máxima,Aceleracion,Consumo,Emisiones,Dimensiones,Etiqueta medioambiental,Precio
118.147,2019,Diésel,Jaén,5,Sí,Manual ,Blanco,Todoterreno,KIA,Sportage,Sportage 1.6 CRDi Drive 100 kW (136 CV) 4x2,136 CV,Todoterreno,180 km/h,11.2 s,4.9 l/100km,129g CO2/km,4485 mm / 1855 mm / 1635 mm,C,16.990€
49.998,2022,Diésel,Sevilla,5,Sí,Manual ,Blanco,Todoterreno,Jeep,Renegade,Renegade Sport 1.6 MultiJet 88 kW (120 CV) 4x2,130 CV,Todoterreno,178 km/h,10.2 s,4.4 l/100km,115g CO2/km,4236 mm / 1805 mm / 1667 mm,C,18.990€
72.300,2019,Gasolina,A Coruña,5,Sí,Automático ,Azul,Familiar,Skoda,Octavia,Octavia Like 1.0 TSI 115 CV DSG 7 vel.,115 CV,Turismo,202 km/h,10 s,4.5 l/100km,106g CO2/km,4659 mm / 1814 mm / 1461 mm,C,14.690€
49.660,2021,Gasolina,Sant Just Desvern,5,Sí,Automático ,Gris,Todoterreno,Alfa Romeo,Stelvio,Stelvio 2.0 148 kW (200 CV) AT8 Q4,200 CV,Todoterreno,215 km/h,7.2 s,9.5 l/100km,176g CO2/km,4687 mm / 1903 mm / 1671 mm,C,38.990€
151.617,2012,Gasolina,Jaén,5,Sí,Manual ,Gris,Berlina,Renault,Megane,Mégane Berlina Dynamique Energy Tce 115 S&S,115 CV,Turismo,190 km/h,10.9 s,5.3 l/100km,119g CO2/km,4302 mm / 1808 mm / 1471 mm,C,8.990€
102.620,2020,Diésel,Badajoz,5,Sí,Automático ,Gris,Todoterreno,Renault,Koleos,Koleos Zen Blue dCi 110 kW (150 CV) X-Tronic 4x2,150 CV,Todoterreno,190 km/h,11.8 s,6.1 l/100km,143g CO2/km,4673 mm / 1843 mm / 1667 mm,C,22.490€
42.642,2020,Gasolina,Collado Villalba,5,Sí,Manual ,Gris,Familiar,Opel,Astra,Astra 5p Elegance 1.2 Turbo 107 kW (145 CV),145 CV,Turismo,220 km/h,10.3 s,5.3 l/100km,99g CO2/km,4370 mm / 1809 mm / 1485 mm,C,15.490€
67.376,2018,Diésel,Valladolid,5,Sí,Automático ,Gris,Monovolumen,BMW,2 Series,218d Active Tourer Aut.,150 CV,Monovolumen,210 km/h,8.9 s,4.1 l/100km,109g CO2/km,4342 mm / 1800 mm / 1555 mm,C,18.990€
113.350,2012,Diésel,Fornells de la Selva,5,Sí,Manual ,Blanco,Furgoneta,Fiat,Doblo,Nuevo Dobló Panorama Emotion 1.3 Multijet 90,90 CV,Vehículo comercial,156 km/h,14.9 s,4.9 l/100km,129g CO2/km,4390 mm / 1832 mm / 1845 mm,B,10.490€
77.000,2018,Diésel,Mataró,False,Sí,Manual ,Blanco,Berlina,Volkswagen,Polo,Polo 3p Sport 1.6 TDI 105 CV,95 CV,Turismo,189 km/h,10.4 s,4.2 l/100km,109g CO2/km,3970 mm / 1682 mm / 1462 mm,B,13.690€
119.000,2019,Gas Natural (GNC),Barcelona,4,Sí,Manual ,Blanco,Furgoneta,False,False,False,136 CV,False,False,False,False,False,False,False,26.620€
67.257,2019,Gasolina,Terrassa,3,Sí,Manual ,Blanco,Berlina,Fiat,500,500 Sport 1.2 69 CV,69 CV,Turismo,160 km/h,12.9 s,5.1 l/100km,119g CO2/km,3546 mm / 1627 mm / 1488 mm,C,11.090€
98.000,2016,Gasolina,Barcelona,4,Sí,Manual ,Negro,Berlina,Mercedes-Benz,Clase C,C 200 Estate,190 CV,Turismo familiar,235 km/h,7.7 s,5.5 l/100km,128g CO2/km,4702 mm / 1810 mm / 1457 mm,C,18.900€
57.056,2020,Gasolina,San Fernando de Henares,5,Sí,Automático ,Azul,Berlina,Renault,Kadjar,Kadjar Intens TCe GPF 103 kW (140 CV) EDC,140 CV,Todoterreno,203 km/h,9.6 s,5.5 l/100km,131g CO2/km,4489 mm / 1836 mm / 1607 mm,C,19.890€
170.000,2018,Híbrido (Gasolina),Coín,5,Sí,Automático ,Rojo,Suv,KIA,Niro,Niro 1.6 HEV Concept,141 CV,Todoterreno,162 km/h,11.5 s,3.7 l/100km,86g CO2/km,4355 mm / 1805 mm / 1535 mm,ECO,13.900€
119.742,2016,Diésel,Alpedrete,5,Sí,Manual ,Blanco,Furgonetas,Opel,Combo,Combo Tour Cosmo 1.3 CDTI,69 CV,Vehículo comercial,150 km/h,17 s,5.1 l/100km,g CO2/km,4322 mm / 1693 mm / 1801 mm,B,11.950€
56.392,2020,Gasolina,Rivas Vaciamadrid,5,Sí,Manual ,Rojo,SUV,Ford,PUMA,Puma ST-Line 1.0 EcoBoost MHEV 92 kW (125 CV),125 CV,Todoterreno,191 km/h,9.8 s,5.6 l/100km,g CO2/km,4207 mm / 1805 mm / 1534 mm,ECO,18.990€
327.000,2017,Diésel,Puerto Lumbreras,4,No,Manual ,BLANCO,Furgoneta,False,False,False,100 CV,False,False,False,False,False,False,False,8.500€
5.045,2024,Gasolina,Toda España,5,Sí,Automático ,Blanco,Familiar,Peugeot,308,308 SW Allure 1.2 PureTech 130 S&S EAT8,130 CV,Turismo familiar,203 km/h,10.2 s,5.4 l/100km,125g CO2/km,4585 mm / 1804 mm / 1470 mm,C,27.490€
10,2024,Eléctrico,Toda España,5,Sí,Automático ,Blanco,Monovolumen,Peugeot,Rifter,e-Rifter Long Active Pack 100 kW (136 CV) batería 50 kWh,136 CV,Vehículo comercial,135 km/h,11.2 s,20 l/100km,0g CO2/km,4753 mm / 1848 mm / 1879 mm,Cero,32.790€
4.420,2024,Eléctrico,Toda España,5,Sí,Automático ,Azul,Compacto,Peugeot,208,e-208 Allure Pack 100 kW (136 CV),136 CV,Turismo,150 km/h,8.1 s,16.4 l/100km,0g CO2/km,4055 mm / 1745 mm / 1430 mm,Cero,34.990€
6.656,2024,Híbrido (Gasolina),Toda España,5,Sí,Automático ,Blanco,SUV,Peugeot,3008,3008 GT Hybrid4 300 e-EAT8,300 CV,Todoterreno,235 km/h,6 s,1.3 l/100km,35g CO2/km,4447 mm / 1841 mm / 1623 mm,Cero,45.990€
2.411,2024,Gasolina,Toda España,5,Sí,Manual ,Blanco,Compacto,Peugeot,208,208 Active Pack PureTech 100 S&S,100 CV,Turismo,188 km/h,9.9 s,5 l/100km,g CO2/km,4055 mm / 1745 mm / 1430 mm,C,18.990€
3.993,2024,Gasolina,Toda España,5,Sí,Manual ,Blanco,Compacto,Peugeot,208,208 Active Pack PureTech 100 S&S,100 CV,Turismo,188 km/h,9.9 s,5 l/100km,g CO2/km,4055 mm / 1745 mm / 1430 mm,C,18.990€
81.166,2024,Gasolina,Toda España,5,Sí,Automático ,Gris,Compacto,Peugeot,308,308 SW Allure 1.2 PureTech 130 S&S EAT8,130 CV,Turismo familiar,203 km/h,10.2 s,5.4 l/100km,125g CO2/km,4585 mm / 1804 mm / 1470 mm,C,14.990€
24.137,2024,Gasolina,Toda España,5,Sí,Manual ,Blanco,SUV,Peugeot,2008,2008 GT Line 1.2 PureTech 130 S&S EAT6,130 CV,Todoterreno,203 km/h, s,5.2 l/100km,118g CO2/km,4159 mm / 1739 mm / 1570 mm,C,23.490€
81.300,2016,Gasolina,Zaragoza,5,No,Manual ,Marrón,Todoterreno/SUV,KIA,Sportage,Sportage 1.6 GDi 135 CV X-Tech 4x2 Eco-Dynamics,132 CV,Todoterreno,178 km/h,11.1 s,6.4 l/100km,149g CO2/km,4440 mm / 1855 mm / 1630 mm,C,16.900€
118.000,2015,Diésel,Noain   Pamplona,5,No,Manual ,Gris,Monovolumen,Volkswagen,Golf Sportsvan,Golf 5p Advance 1.6 TDI 105 CV BMT,110 CV,Turismo,189 km/h,11.3 s,4.1 l/100km,107g CO2/km,4199 mm / 1779 mm / 1479 mm,B,13.950€
206.455,2012,Diésel,Huercal,5,No,Automático ,Mineralsilber metallic,puertas:,BMW,X6,X6 xDrive30d,245 CV,Todoterreno,222 km/h,7.5 s,7.4 l/100km,195g CO2/km,4877 mm / 1983 mm / 1699 mm,B,21.900€
8.769,2023,Eléctrico,La Laguna,5,No,Automático ,Azul denim metalizado,4x4,Mercedes-Benz,EQB,EQB 250,190 CV,Todoterreno,160 km/h,8.9 s,16.5 l/100km,0g CO2/km,4684 mm / 1834 mm / 1667 mm,Cero,47.500€
22.836,2022,Híbrido,Lugo,5,No,Automático ,Atlas white,Berlina,False,False,False,136 CV,False,False,False,False,False,False,False,37.900€
6.000,2023,Híbrido,Granollers,5,No,Automático ,Blanco polar,Familiar,False,False,False,200 CV,False,False,False,False,False,False,False,64.789€
9.900,2020,Eléctrico,Málaga,5,No,Automático ,Negro obsidiana - pintura,puertas:,Mercedes-Benz,EQC,EQC 400 4MATIC Edition 1886,408 CV,Todoterreno,180 km/h,5.1 s,22.5 l/100km,0g CO2/km,4761 mm / 1884 mm / 1623 mm,Cero,53.950€
19,0,Diésel,Jaén,4,No,Automático ,Gris plata metalizado,Vehículo,Mercedes-Benz,Clase V,V 300 d Largo,239 CV,Monovolumen,220 km/h,7.9 s,5.9 l/100km,155g CO2/km,5140 mm / 1928 mm / 1880 mm,C,98.430€
170.000,2014,Diésel,Vitoria Gasteiz,5,Sí,Manual ,Negro,puertas:,Mini,Countryman,One D Countryman,90 CV,Todoterreno,170 km/h,12.9 s,4.4 l/100km,115g CO2/km,4097 mm / 1789 mm / 1561 mm,B,12.000€
55.379,2022,Diésel,Sevilla,5,Sí,Manual ,Rojo,Todoterreno,Opel,Mokka,Mokka 1.5 Diesel 81 kW (110 CV) GS Line,110 CV,Todoterreno,180 km/h,10.8 s,4.4 l/100km,g CO2/km,4150 mm / 1790 mm / 1535 mm,C,22.900€
5.200,2019,Diésel,Villanueva de Cordoba,4,Sí,Manual ,Blanco,Pickup,Toyota,Hilux,Hilux Doble Cabina 2.4 150D 4x4 GX,150 CV,Pick Up,170 km/h,13.2 s,7 l/100km,185g CO2/km,5330 mm / 1855 mm / 1815 mm,C,27.200€
34.450,2020,Gasolina,Marbella,2,Sí,Automático ,Negro,Deportivo,Aston Martin,DB11,DB11 V8,510 CV,Coupé,300 km/h,3.9 s,9.9 l/100km,230g CO2/km,4750 mm / 1950 mm / 1290 mm,C,168.899€
187.000,2017,Diésel,Cuenca,4,Sí,Manual ,Blanco,Vehículo,Citroen,Berlingo,Nuevo Berlingo XTR 1.6 HDi 110 FAP,120 CV,Vehículo comercial,173 km/h,12.5 s,5.6 l/100km,147g CO2/km,4380 mm / 1810 mm / 1862 mm,B,10.900€
16.805,2022,Gasolina,Mataro,5,Sí,Automático ,Verde,Todoterreno,Alfa Romeo,Tonale,Tonale Hybrid 130 TCT Edizione Speciale,130 CV,Todoterreno,195 km/h,9.9 s,6.1 l/100km,g CO2/km,4528 mm / 1841 mm / 1601 mm,ECO,34.900€
10,2023,Gasolina,Sabadell,5,Sí,Automático ,Blanco,Todoterreno,Citroen,C5 Aircross,C5 Aircross Shine PureTech 130 S&S EAT8,131 CV,Todoterreno,188 km/h,10.3 s,6.6 l/100km,g CO2/km,4500 mm / 1840 mm / 1654 mm,C,29.900€
185.813,2014,Diésel,Esplugues de Llobregat,5,Sí,Manual ,Blanco,Familiar,Volkswagen,Passat,Passat Advance 1.6 TDI 105 CV BlueMotion Technology,105 CV,Turismo,195 km/h,12.2 s,4.3 l/100km,114g CO2/km,4769 mm / 1820 mm / 1470 mm,B,8.900€
85.000,2019,Gasolina,Madrid,5,Sí,Manual ,Azul,Berlina,Renault,Kadjar,Kadjar Zen TCe GPF 103 kW (140 CV),140 CV,Todoterreno,203 km/h,10.4 s,5.9 l/100km,134g CO2/km,4489 mm / 1836 mm / 1607 mm,C,18.000€
70.000,2020,Híbrido (Gasolina),Sabadell,5,Sí,Automático ,Gris,Berlina,Toyota,COROLLA,Corolla hybrid 125H Active,122 CV,Turismo,180 km/h,10.9 s,3.3 l/100km,76g CO2/km,4370 mm / 1790 mm / 1435 mm,ECO,19.200€
143.000,2018,Diésel,San Fernando de Henares,5,Sí,Automático ,Otros,Familiar,Audi,A4,A4 Avant 2.0 TDI 110 kW (150 CV) S tronic 7 vel.,150 CV,Turismo familiar,213 km/h,9 s,4.1 l/100km,106g CO2/km,4725 mm / 1842 mm / 1434 mm,C,21.190€
241.000,2008,Diésel,Reus,5,Sí,Manual ,Negro,Familiar,BMW,3 Series,320d Touring,,Turismo familiar,211 km/h,9.3 s,5.7 l/100km,g CO2/km,4478 mm / 1739 mm / 1409 mm,Sin etiqueta,7.995€
18.900,2019,Gasolina,Fornells de la Selva,5,Sí,Automático ,Negro,Monovolumen,Opel,Crossland X,Crossland X Excellence 1.2 Turbo Start&Stop 81 kW (110 CV) Aut.,110 CV,Monovolumen,187 km/h,11.8 s,5.4 l/100km,123g CO2/km,4212 mm / 1765 mm / 1605 mm,C,18.990€
179.000,2005,Gasolina,Cornella de Terri,3,Sí,Manual ,Plata,Utilitario,Volkswagen,Golf,Golf 3p Highline 1.6,102 CV,Turismo,192 km/h,10.8 s,6.9 l/100km,g CO2/km,4149 mm / 1735 mm / 1444 mm,B,4.900€
68.000,2019,Gasolina,Mollet,5,Sí,Manual ,Blanco,Todoterreno,SEAT,Arona,Arona 1.0 TSI 70 kW (95 CV) Start/Stop Style,95 CV,Todoterreno,173 km/h,11.4 s,5 l/100km,115g CO2/km,4138 mm / 1780 mm / 1552 mm,C,15.490€
129.000,2019,Diésel,Toledo,5,Sí,Automático ,Blanco,Berlina,BMW,4 Series,420d Gran Coupé Aut.,190 CV,Turismo,231 km/h,7.5 s,4.6 l/100km,121g CO2/km,4638 mm / 1825 mm / 1389 mm,C,26.900€
133.000,2014,Diésel,Toledo,5,Sí,Automático ,Rojo,Berlina,Mercedes-Benz,Clase A,A 200 CDI 7G-DCT,136 CV,Turismo,210 km/h,9.2 s,4.1 l/100km,109g CO2/km,4292 mm / 1780 mm / 1433 mm,B,17.900€
16.394,2022,Diésel,Alpedrete,5,Sí,Manual ,Negro,puertas:,Peugeot,308,308 5p Allure Pack BlueHDi 130,132 CV,Turismo,207 km/h,10.6 s,4.4 l/100km,g CO2/km,4367 mm / 1852 mm / 1441 mm,C,27.850€
12.310,2022,Gasolina,Lugo,5,Sí,Automático ,Rojo,SUV,False,False,False,230 CV,False,False,False,False,False,False,False,31.900€
7.400,2024,Diésel,Toda España,5,Sí,Automático ,Blanco,Todo,Peugeot,2008,2008 Allure BlueHDi 130 EAT8,130 CV,Todoterreno,195 km/h,9.3 s,4.8 l/100km,g CO2/km,4300 mm / 1770 mm / 1530 mm,C,27.490€
10,2023,Gasolina,La Puebla de Montalban,5,No,Automático ,Amarillo,Berlina,Peugeot,208,208 5p GT-Line 1.2 PureTech 110 S&S EAT6,100 CV,Turismo,188 km/h,9.8 s,5.1 l/100km,116g CO2/km,3973 mm / 1739 mm / 1460 mm,C,17.990€
20.149,2020,Gasolina,San Sebastian de los Reyes,5,No,Manual ,Blanco,Berlina,Citroen,C3,C3 PureTech 83 S&S C-Series,83 CV,Turismo,169 km/h,13.3 s,5.8 l/100km,g CO2/km,3996 mm / 1749 mm / 1474 mm,C,13.900€
129.000,2017,Diésel,Noain   Pamplona,5,No,Manual ,Gris,Familiar,Peugeot,308,308 5p Active 1.6 BlueHDi 120,120 CV,Turismo,196 km/h,9.6 s,3.6 l/100km,94g CO2/km,4253 mm / 1804 mm / 1457 mm,C,11.950€
69.300,2019,Gasolina,Tudela,5,No,Manual ,Azul,Todoterreno/SUV,SEAT,Ateca,Ateca 1.4 EcoTSI 150 CV Start/Stop Style Premium,150 CV,Todoterreno,201 km/h,8.5 s,5.3 l/100km,122g CO2/km,4363 mm / 1841 mm / 1601 mm,C,25.900€
250,2023,Gasolina,Tudela,5,No,Automático ,Gris,Todoterreno/SUV,Cupra,Formentor,Formentor 1.5 TSI 110 kW (150 CV) DSG 7 vel.,150 CV,Todoterreno,203 km/h,8.9 s,6.8 l/100km,g CO2/km,4450 mm / 1839 mm / 1520 mm,C,36.500€
23.000,2019,Gasolina,Denia,5,No,Automático ,Blanco,Berlina,False,False,False,130 CV,False,False,False,False,False,False,False,17.900€
15.500,2017,Eléctrico,Madrid,5,Sí,Automático ,Blanco,berlina,False,False,False,61 CV,False,False,False,False,False,False,False,14.990€
250,2022,Gasolina,Barcelona,5,No,Automático ,Plata,4x4,Mercedes-Benz,GLA,AMG GLA 45 S 4MATIC+,421 CV,Todoterreno,270 km/h,4.3 s,9.2 l/100km,210g CO2/km,4436 mm / 1849 mm / 1585 mm,C,91.000€
72.431,2019,Híbrido,Figueres,5,No,Automático ,Santorini black,4x4,False,False,False,150 CV,False,False,False,False,False,False,False,35.700€
35.776,2020,Gasolina,Figueres,5,No,Manual ,Clear white,Berlina,KIA,Picanto,Picanto 1.0 CVVT Concept,67 CV,Turismo,161 km/h,14.3 s,4.9 l/100km,113g CO2/km,3595 mm / 1595 mm / 1485 mm,C,12.950€
21.672,2020,Gasolina,Barcelona,5,No,Manual ,Gris,4x4,Volkswagen,T-Cross,T-Cross Advance 1.0 TSI 85 kW (115 CV),110 CV,Todoterreno,193 km/h,10.2 s,4.9 l/100km,112g CO2/km,4108 mm / 1782 mm / 1584 mm,C,20.999€
83.260,2018,Gasolina,Barcelona,5,No,Manual ,Plata,Berlina,Skoda,Citigo,Citigo 5p 1.0 MPI 44kW (60 CV) Ambition,60 CV,Turismo,162 km/h,14.4 s,4.4 l/100km,101g CO2/km,3597 mm / 1645 mm / 1478 mm,C,8.290€
87.969,2018,Gasolina,Barcelona,5,No,Manual ,Blanco,Berlina,Skoda,Citigo,Citigo 5p 1.0 MPI 44kW (60 CV) Ambition,60 CV,Turismo,162 km/h,14.4 s,4.4 l/100km,101g CO2/km,3597 mm / 1645 mm / 1478 mm,C,8.299€
59.820,2020,Gasolina,Barcelona,5,No,Manual ,Rojo,4x4,Jeep,Renegade,Renegade Limited 1.0 Turbo 88 kW (120 CV) 4x2,120 CV,Todoterreno,185 km/h,11.2 s,5.9 l/100km,132g CO2/km,4236 mm / 1805 mm / 1667 mm,C,16.999€
27.934,2022,Diésel,Zaragoza,5,No,Automático ,Gris montaÑa,Berlina,Mercedes-Benz,Clase A,A 200 d 8G-DCT,150 CV,Turismo,220 km/h,8.1 s,4.2 l/100km,107g CO2/km,4419 mm / 1796 mm / 1440 mm,C,36.900€
42.000,2022,Diésel,San Salvador de Muxa,5,No,Automático ,Gris grafito,Vehículo,Mercedes-Benz,Clase V,V 220 d Exclusive Largo,163 CV,Monovolumen,195 km/h,11 s,6.2 l/100km,162g CO2/km,5140 mm / 1928 mm / 1880 mm,C,59.169€
23.496,2022,Diésel,Málaga,5,No,Automático ,Gris montaña metalizado,Berlina,Mercedes-Benz,Clase A,A 200 d 8G-DCT,150 CV,Turismo,220 km/h,8.1 s,4.2 l/100km,107g CO2/km,4419 mm / 1796 mm / 1440 mm,C,37.950€
200.000,2018,Diésel,Sada,5,Sí,Automático ,Gris,Berlina,Mercedes-Benz,Clase A,A 200 CDI 7G-DCT,136 CV,Turismo,210 km/h,9.2 s,3.9 l/100km,102g CO2/km,4292 mm / 1780 mm / 1433 mm,B,19.990€
5.000,2022,Eléctrico,Sevilla,4,Sí,Automático ,Blanco,Furgoneta,False,False,False,136 CV,False,False,False,False,False,False,False,35.900€
31.000,2022,Diésel,Tomares,5,Sí,Automático ,Azul,Berlina,Peugeot,308,308 SW Active BlueHDi 130 S&S EAT8,130 CV,Turismo familiar,205 km/h,9.7 s,4.8 l/100km,g CO2/km,4585 mm / 1804 mm / 1470 mm,C,27.500€
51.307,2020,Gasolina,Granada,2,Sí,Automático ,Azul,Berlina,Mini,Hatchback,Cooper Roadster Aut.,136 CV,Descapotable,192 km/h,10.5 s,6.6 l/100km,154g CO2/km,3728 mm / 1683 mm / 1384 mm,C,24.900€
10.150,2023,Gasolina,Murcia,5,Sí,Automático ,Negro,Todoterreno,Porsche,Macan,Macan GTS,380 CV,Todoterreno,261 km/h,4.9 s,11.3 l/100km,218g CO2/km,4686 mm / 1926 mm / 1609 mm,C,99.900€
51.677,2021,Gasolina,Barberà del Vallès,5,Sí,Automático ,Naranja,Berlina,Volkswagen,Polo,Polo United 1.0 TSI 81 kW (110 CV) DSG 7 vel.,110 CV,Turismo,195 km/h,10.4 s,5.7 l/100km,g CO2/km,4053 mm / 1751 mm / 1461 mm,C,15.500€
52.888,2021,Diésel,Barberà del Vallès,5,Sí,Manual ,Blanco,Monovolumen,Peugeot,Rifter,Rifter Active Pack Standard BlueHDi 100,100 CV,Vehículo comercial,175 km/h, s,5.2 l/100km,g CO2/km,4403 mm / 1848 mm / 1796 mm,C,18.500€
10,2023,Eléctrico,Boadilla del Monte,5,Sí,Automático ,Blanco,Monovolumen,Opel,Combo,Combo-e Life Edition Plus 100 kW (136 CV) 50 kWh,136 CV,Vehículo comercial,135 km/h,11.7 s,19.5 l/100km,0g CO2/km,4403 mm / 1848 mm / 1841 mm,Cero,29.900€
135.000,2019,Diésel,Madrid,5,Sí,Manual ,Marrón,Monovolumen,Renault,Grand Scenic,Grand Scenic Zen Blue dCi 88 kW (120 CV) 7 plazas,120 CV,Monovolumen,185 km/h,15.2 s,4.8 l/100km,127g CO2/km,4634 mm / 1866 mm / 1655 mm,C,15.990€
99.000,2020,Híbrido Enchufable (PHEV),Madrid,5,Sí,Automático ,Negro,Todoterreno,BMW,X5,X5 xDrive45e,394 CV,Todoterreno,235 km/h,5.6 s,1.7 l/100km,39g CO2/km,4922 mm / 2004 mm / 1745 mm,Cero,59.990€
129.708,2017,Diésel,Fontellas,4,Sí,Automático ,Negro,Berlina,Jaguar,XE,XE 2.0 Diesel 132 kW (180 CV) Auto Pure,180 CV,Turismo,228 km/h,7.8 s,4.2 l/100km,109g CO2/km,4672 mm / 1850 mm / 1416 mm,C,16.950€
2.646,2023,Híbrido (Gasolina),Canet d En Berenguer,5,Sí,Automático ,Negro,Todoterreno,Citroen,C5 Aircross,C5 Aircross Plug-in Hybrid 225 Shine Pack,225 CV,Todoterreno,225 km/h,8.9 s,1.3 l/100km,g CO2/km,4500 mm / 1840 mm / 1654 mm,Cero,38.300€
10,2023,Eléctrico,Sant Fruitos de Bages,5,Sí,Automático ,Blanco,Todoterreno,Opel,Mokka,Mokka-e Ultimate,136 CV,Todoterreno,150 km/h,9 s,16.2 l/100km,0g CO2/km,4151 mm / 1791 mm / 1534 mm,Cero,37.700€
5,2023,Eléctrico,Huercal de Almeria,5,Sí,Automático ,Gris,Berlina,Citroen,C4,ë-C4 eléctrico 100 kW Feel Pack,136 CV,Turismo,150 km/h,9.7 s,16 l/100km,0g CO2/km,4360 mm / 1800 mm / 1520 mm,Cero,34.300€
25.000,2020,Diésel,Huercal de Almeria,5,Sí,Manual ,Negro,Berlina,Citroen,C4 Cactus,C4 Cactus BlueHDi 100 S&S Feel Edition,102 CV,Turismo,184 km/h,10.6 s,3.5 l/100km,92g CO2/km,4157 mm / 1729 mm / 1480 mm,C,18.850€
168.575,2016,Diésel,Esplugues de Llobregat,5,Sí,Manual ,Gris claro,Todoterreno,Mazda,Cx-3,CX-3 Style+ 1.5 Diesel 105 CV 2WD,105 CV,Todoterreno,177 km/h,10.1 s,4 l/100km,105g CO2/km,4275 mm / 1765 mm / 1535 mm,C,12.800€
140.000,2010,Gasolina,Palamós,3,Sí,Manual ,Blanco,Berlina,Alfa Romeo,MiTO,MiTo 1.4 78 CV Junior,78 CV,Turismo,165 km/h,12.3 s,5.9 l/100km,138g CO2/km,4063 mm / 1721 mm / 1446 mm,C,5.990€
188.000,2018,Diésel,Cuenca,5,Sí,Automático ,Negro,Todoterreno,BMW,X3,X3 xDrive20d Aut.,,Todoterreno,210 km/h,8.5 s,5.6 l/100km,147g CO2/km,4648 mm / 1881 mm / 1661 mm,B,28.900€
13.781,2023,Diésel,Madrid,5,Sí,Automático ,Azul,Todoterreno,Peugeot,3008,3008 Allure 1.6 BlueHDi 120 EAT6,130 CV,Monovolumen,181 km/h,12.4 s,4.3 l/100km,112g CO2/km,4365 mm / 1837 mm / 1639 mm,C,32.900€
3.328,2023,Diésel,Madrid,5,Sí,Automático ,Azul,Todoterreno,Peugeot,3008,3008 Allure 1.6 BlueHDi 120 EAT6,130 CV,Monovolumen,181 km/h,12.4 s,4.3 l/100km,112g CO2/km,4365 mm / 1837 mm / 1639 mm,C,33.500€
