KM,Año,Combustible,Ciudad,Nº puertas,Garantía,Cambio,Color,Carrocería,Marca,Modelo,Versión,Potencia,Tipo de carrocería,Velocidad máxima,Aceleracion,Consumo,Emisiones,Dimensiones,Etiqueta medioambiental,Precio
5.650,2023,Eléctrico,Sevilla,5,Sí,Automático ,False,Compacto,Peugeot,208,e-208 Active Pack 100 kW (136 CV),136 CV,Turismo,150 km/h,8.1 s,16.3 l/100km,0g CO2/km,4055 mm / 1745 mm / 1430 mm,Cero,24.600€
31.552,2023,Diésel,Sevilla,4,Sí,Manual ,False,Industrial,Peugeot,Partner,Nuevo Partner Tepee Confort HDi 90,102 CV,Vehículo comercial,160 km/h,14.3 s,5.7 l/100km,149g CO2/km,4380 mm / 1810 mm / 1801 mm,B,17.950€
19.280,2023,Híbrido (Gasolina),Vigo,5,Sí,Automático ,False,SUV,Peugeot,3008,3008 GT Hybrid 300 e-EAT8,300 CV,Todoterreno,235 km/h,5.9 s,1.3 l/100km,g CO2/km,4447 mm / 1841 mm / 1624 mm,Cero,36.900€
83.183,2020,Gasolina,San Fruitos del Bages,5,Sí,Manual ,False,Compacto,Peugeot,208,208 Active PureTech 75 S&S,75 CV,Turismo,174 km/h,13.2 s,5.3 l/100km,94g CO2/km,4055 mm / 1745 mm / 1430 mm,C,12.900€
2,2023,Gasolina,Inca,5,Sí,Manual ,Plata,puertas:,Ford,Focus,Focus Sportbreak Trend 1.0 EcoBoost  Auto-Start-Stop 125 CV,125 CV,Turismo familiar,193 km/h,11.5 s,5.1 l/100km,117g CO2/km,4556 mm / 1823 mm / 1505 mm,C,34.300€
1,2023,Gasolina,Inca,5,Sí,Manual ,Rojo,puertas:,Ford,PUMA,Puma Titanium 1.0 EcoBoost MHEV 92 kW (125 CV),125 CV,Todoterreno,191 km/h,9.8 s,5.5 l/100km,96g CO2/km,4186 mm / 1805 mm / 1536 mm,ECO,24.900€
1,2023,Gasolina,Inca,5,Sí,Manual ,Rojo,puertas:,Ford,PUMA,Puma Titanium 1.0 EcoBoost MHEV 92 kW (125 CV),125 CV,Todoterreno,191 km/h,9.8 s,5.5 l/100km,96g CO2/km,4186 mm / 1805 mm / 1536 mm,ECO,24.900€
35.228,2021,Gasolina,Talavera de la Reina,4,No,Manual ,Azul,Sedan,Audi,A3,A3 Sedan 30 TFSI,110 CV,Turismo,211 km/h,9.9 s,5.1 l/100km,115g CO2/km,4458 mm / 1796 mm / 1416 mm,C,28.400€
11.859,2023,Gasolina,Leganés,5,No,Manual ,Blanco,Todoterreno/SUV,KIA,Stonic,Stonic 1.2 DPi 62 kW (84 CV) Concept,84 CV,Todoterreno,165 km/h,13.5 s,6.7 l/100km,156g CO2/km,4140 mm / 1760 mm / 1500 mm,C,18.200€
16.585,2023,Gasolina,Leganés,5,No,Manual ,Gris,Todoterreno/SUV,KIA,Stonic,Stonic 1.2 DPi 62 kW (84 CV) Concept,84 CV,Todoterreno,165 km/h,13.5 s,6.7 l/100km,156g CO2/km,4140 mm / 1760 mm / 1500 mm,C,18.200€
16.000,2023,Híbrido,Leganés,5,No,Manual ,Rojo,Todoterreno/SUV,False,False,False,136 CV,False,False,False,False,False,False,False,25.600€
16.817,2023,Gasolina,Leganés,5,No,Manual ,Rojo,Todoterreno/SUV,KIA,Stonic,Stonic 1.2 DPi 62 kW (84 CV) Concept,84 CV,Todoterreno,165 km/h,13.5 s,6.7 l/100km,156g CO2/km,4140 mm / 1760 mm / 1500 mm,C,18.200€
14.629,2023,Gasolina,Leganés,5,No,Manual ,Gris,Todoterreno/SUV,KIA,Stonic,Stonic 1.2 DPi 62 kW (84 CV) Concept,84 CV,Todoterreno,165 km/h,13.5 s,6.7 l/100km,156g CO2/km,4140 mm / 1760 mm / 1500 mm,C,18.200€
16.922,2022,Diésel,Leganés,5,No,Manual ,Blanco,Todoterreno/SUV,Hyundai,TUCSON,Tucson 1.7 CRDi 85 kW (115 CV) 4x2 BlueDrive Essence,115 CV,Todoterreno,176 km/h,13.7 s,4.6 l/100km,119g CO2/km,4475 mm / 1850 mm / 1645 mm,C,24.500€
12.817,2022,Diésel,Leganés,5,No,Manual ,Rojo,Todoterreno/SUV,Hyundai,TUCSON,Tucson 1.7 CRDi 85 kW (115 CV) 4x2 BlueDrive Essence,115 CV,Todoterreno,176 km/h,13.7 s,4.6 l/100km,119g CO2/km,4475 mm / 1850 mm / 1645 mm,C,24.800€
12.129,2022,Diésel,Leganés,5,No,Manual ,Rojo,Todoterreno/SUV,Hyundai,TUCSON,Tucson 1.7 CRDi 85 kW (115 CV) 4x2 BlueDrive Essence,115 CV,Todoterreno,176 km/h,13.7 s,4.6 l/100km,119g CO2/km,4475 mm / 1850 mm / 1645 mm,C,24.800€
12.729,2022,Diésel,Leganés,5,No,Manual ,Rojo,Todoterreno/SUV,Hyundai,TUCSON,Tucson 1.7 CRDi 85 kW (115 CV) 4x2 BlueDrive Essence,115 CV,Todoterreno,176 km/h,13.7 s,4.6 l/100km,119g CO2/km,4475 mm / 1850 mm / 1645 mm,C,24.800€
19.067,2023,Híbrido,Leganés,5,No,Automático ,Gris,Crossover,KIA,Niro,Niro 1.6 HEV Drive,141 CV,Todoterreno,164 km/h,11.5 s,4.9 l/100km,86g CO2/km,4355 mm / 1805 mm / 1535 mm,ECO,28.500€
12.362,2022,Diésel,Leganés,5,No,Manual ,Rojo,Todoterreno/SUV,Hyundai,TUCSON,Tucson 1.7 CRDi 85 kW (115 CV) 4x2 BlueDrive Essence,115 CV,Todoterreno,176 km/h,13.7 s,4.6 l/100km,119g CO2/km,4475 mm / 1850 mm / 1645 mm,C,24.800€
64.907,2019,Diésel,Leganés,5,No,Manual ,Gris,Todoterreno/SUV,BMW,X2,X2 sDrive18d,150 CV,Todoterreno,207 km/h,9.3 s,4.3 l/100km,113g CO2/km,4360 mm / 1824 mm / 1526 mm,C,24.300€
90.982,2019,Diésel,Málaga,5,No,Manual ,Gris,Monovolumen,BMW,2 Series,216d Gran Tourer 7 plazas,116 CV,Monovolumen,192 km/h,11.1 s,3.9 l/100km,104g CO2/km,4556 mm / 1800 mm / 1608 mm,C,16.899€
50.168,2016,Gasolina,Zaragoza,5,No,Automático ,Azul,Berlina,SEAT,Toledo,Toledo Style Advanced 1.4 TSI 125 CV Start&Stop DSG,125 CV,Turismo,208 km/h,9 s,4.8 l/100km,114g CO2/km,4482 mm / 1706 mm / 1461 mm,C,15.500€
393,2022,Diésel,Lugo,5,No,Manual ,Blanco,Todoterreno/SUV,Skoda,Karoq,Karoq Active 2.0 TDI 85 kW (115 CV),115 CV,Todoterreno,190 km/h,10.6 s,4.8 l/100km,g CO2/km,4382 mm / 1841 mm / 1603 mm,C,29.900€
146.175,2018,Diésel,Coria del Río,5,No,Automático ,Blanco,Todoterreno/SUV,Volkswagen,Tiguan,Tiguan R-Line 2.0 TDI 177 CV BlueMotion Technology 4Motion DSG,190 CV,Todoterreno,200 km/h,8.5 s,6 l/100km,159g CO2/km,4426 mm / 1809 mm / 1703 mm,B,25.499€
285.983,2005,Diésel,Utebo,False,Sí,Manual ,Amarillo,industrial,False,False,False,90 CV,False,False,False,False,False,False,False,4.990€
282.000,2003,Diésel,Berriatua,5,Sí,Manual ,Blanco,puertas:,False,False,False,94 CV,False,False,False,False,False,False,False,3.600€
26.738,2023,Híbrido,Hospitalet de Llobregat,5,No,Automático ,Gris,4x4,False,False,False,158 CV,False,False,False,False,False,False,False,32.500€
5.874,2022,Híbrido,Hospitalet de Llobregat,5,No,Manual ,Plata,4x4,False,False,False,140 CV,False,False,False,False,False,False,False,29.995€
12.084,2023,Híbrido Enchufable (PHEV),Figueres,5,No,Automático ,Cassa white s,4x4,KIA,XCeed,XCeed 1.6 PHEV eMotion,141 CV,Todoterreno,160 km/h,11 s,1.7 l/100km,g CO2/km,4395 mm / 1826 mm / 1495 mm,Cero,30.995€
10.423,2023,Eléctrico,Maliaño,3,No,Automático ,Tridion safety cell in bl,puertas:,Smart,Fortwo,fortwo electric drive,82 CV,Turismo,130 km/h,11.5 s, l/100km,0g CO2/km,2695 mm / 1663 mm / 1555 mm,Cero,18.995€
13,2024,Gasolina,Maliaño,5,No,Automático ,Manufaktur gris grafito,Familiar,Mercedes-Benz,Clase C,AMG C 43 4MATIC Estate,408 CV,Turismo familiar,250 km/h,4.7 s,8.8 l/100km,g CO2/km,4791 mm / 1824 mm / 1466 mm,ECO,108.000€
3.500,2023,Eléctrico,Barcelona,5,No,Automático ,Cityscape green (cge),Berlina,KIA,Niro,e-Niro Drive 150 kW (204 CV) 65 kWh,204 CV,Todoterreno,167 km/h,7.8 s,16.2 l/100km,0g CO2/km,4420 mm / 1825 mm / 1570 mm,Cero,35.745€
2.000,2023,Híbrido Enchufable (PHEV),Siero,5,No,Automático ,Blanco cristal,4x4,Mitsubishi,ASX,ASX 160 PHEV Kaiteki+,159 CV,Todoterreno,170 km/h,10.1 s,1.4 l/100km,g CO2/km,4228 mm / 1797 mm / 1573 mm,Cero,35.500€
39.250,2021,Diésel,Siero,5,No,Automático ,Negro cosmos,Monovolumen,Mercedes-Benz,Clase B,B 180 CDI Autotronic,116 CV,Monovolumen,178 km/h,11.8 s,5.6 l/100km,148g CO2/km,4273 mm / 1777 mm / 1603 mm,B,29.900€
21.599,2022,Gasolina,Barcelona,5,No,Automático ,Negro,4x4,Volkswagen,T-Cross,T-Cross Advance 1.0 TSI 85 kW (115 CV) DSG 7 vel.,110 CV,Todoterreno,193 km/h,10.2 s,4.9 l/100km,111g CO2/km,4108 mm / 1782 mm / 1584 mm,C,23.490€
62.934,2019,Híbrido,Barcelona,5,No,Automático ,Gris,Berlina,Toyota,C-HR,C-HR Hybrid Advance,122 CV,Todoterreno,170 km/h,11 s,3.8 l/100km,86g CO2/km,4360 mm / 1795 mm / 1555 mm,ECO,21.899€
29.823,2020,Gasolina,Barcelona,5,No,Automático ,Blanco,4x4,KIA,Stonic,Stonic 1.0 T-GDi Drive Eco-Dynamics 88 kW (120 CV) DCT,120 CV,Todoterreno,185 km/h,10.6 s,5.2 l/100km,120g CO2/km,4140 mm / 1760 mm / 1520 mm,C,18.990€
25,2023,Híbrido,Sabadell,5,No,Automático ,Rojo deseo,4x4,Renault,Captur,Captur E-TECH Engineered Híbrido 105 kW (145 CV),145 CV,Todoterreno,170 km/h,10.6 s,4.7 l/100km,g CO2/km,4227 mm / 1797 mm / 1576 mm,ECO,26.700€
63.432,2022,Gasolina,Baracaldo,5,No,Automático ,Frozen pure grey metallic,Coupé,BMW,1 Series,118i Aut.,136 CV,Turismo,213 km/h,8.8 s,5.7 l/100km,g CO2/km,4319 mm / 1799 mm / 1434 mm,C,25.000€
148.017,2015,Gasolina,Murcia,4,No,Automático ,Palladiumsilber - metalli,Berlina,Mercedes-Benz,Clase S,AMG S 63 4MATIC L,585 CV,Turismo,250 km/h,4 s,10.3 l/100km,242g CO2/km,5287 mm / 1905 mm / 1499 mm,C,58.900€
51.000,2020,Diésel,Murcia,5,No,Automático ,Selenitgrey - metallic pa,puertas:,Mercedes-Benz,GLC,GLC 200 d 4MATIC Coupé,163 CV,Todoterreno,206 km/h,8.9 s,5.2 l/100km,137g CO2/km,4731 mm / 1890 mm / 1602 mm,C,47.900€
14.670,2023,Diésel,Málaga,2,No,Automático ,Negro obsidiana,puertas:,Mercedes-Benz,Clase E,E 220 d Coupé,194 CV,Coupé,242 km/h,7.4 s,4.8 l/100km,122g CO2/km,4826 mm / 1860 mm / 1430 mm,C,64.950€
190.000,2019,Diésel,San Fernando de Henares,5,Sí,Automático ,Negro,puertas:,Volkswagen,Passat,Passat Variant Edition 1.6 TDI BMT 88 kW (120 CV) DSG 7 vel.,120 CV,Turismo familiar,204 km/h,11 s,4.3 l/100km,112g CO2/km,4767 mm / 1832 mm / 1477 mm,C,10.990€
300.000,2012,Diésel,San Fernando de Henares,4,Sí,Manual ,MarrÓn,puertas:,Mercedes-Benz,Vito,Vaneo 1.7 CDI Imagination,95 CV,Monovolumen,160 km/h,16 s,5.9 l/100km,g CO2/km,4192 mm / 1742 mm / 1830 mm,Sin etiqueta,12.600€
200.000,2012,Diésel,San Fernando de Henares,5,Sí,Manual ,Negro,puertas:,Audi,Q3,Q3 2.0 TDI 140 CV quattro Ambition,140 CV,Todoterreno,197 km/h,9.9 s,5.7 l/100km,149g CO2/km,4385 mm / 1831 mm / 1590 mm,B,12.900€
120.000,2017,Diésel,San Fernando de Henares,5,Sí,Automático ,Gris,puertas:,Jaguar,F-pace,F-PACE 2.0 i4D 132 kW (180 CV) AWD Auto Pure,180 CV,Todoterreno,208 km/h,8.7 s,5.3 l/100km,139g CO2/km,4731 mm / 1936 mm / 1652 mm,C,21.990€
140.000,2016,Otros,San Fernando de Henares,5,Sí,Manual ,Gris,puertas:,Mercedes-Benz,Clase B,B 200 Natural Gas Drive,156 CV,Monovolumen,200 km/h,9.2 s, l/100km,117g CO2/km,4359 mm / 1786 mm / 1557 mm,ECO,12.990€
140.000,2017,Diésel,San Fernando de Henares,5,Sí,Automático ,Azul,puertas:,Volvo,V60,V60 D2 Momentum Aut.,120 CV,Turismo familiar,195 km/h,11.7 s,4.2 l/100km,109g CO2/km,4635 mm / 1865 mm / 1484 mm,C,14.490€
170.000,2021,Diésel,San Fernando de Henares,5,Sí,Manual ,Gris,puertas:,Opel,Astra,Astra 5p Excellence 1.6 CDTI Start/Stop 110 CV,110 CV,Turismo,184 km/h,11.6 s,3.7 l/100km,97g CO2/km,4419 mm / 1814 mm / 1510 mm,B,10.900€
266.000,2017,Diésel,Puerto Lumbreras,5,No,Automático ,BLANCO,SUV/Todoterreno,False,False,False,300 CV,False,False,False,False,False,False,False,35.000€
223.000,2010,Diésel,Puerto Lumbreras,5,No,Manual ,BLANCO,Turismo,False,False,False,90 CV,False,False,False,False,False,False,False,4.200€
142.000,2018,Diésel,Puerto Lumbreras,5,No,Automático ,gris,SUV/Todoterreno,False,False,False,180 CV,False,False,False,False,False,False,False,28.500€
45.807,2022,Diésel,Leganés,4,No,Manual ,Blanco,Furgoneta,False,False,False,102 CV,False,False,False,False,False,False,False,17.990€
77.930,2016,Gasolina,Leganés,5,No,Manual ,Gris,Sedan,Renault,Captur,Captur Intens Energy TCe 90 eco2,90 CV,Todoterreno,171 km/h,12.9 s,5.1 l/100km,114g CO2/km,4122 mm / 1778 mm / 1566 mm,C,11.500€
42.461,2017,Gasolina,Leganés,5,No,Manual ,Blanco,Sedan,KIA,Rio,Rio 5p 1.2 CVVT Concept,84 CV,Turismo,168 km/h,13.1 s,5.1 l/100km,119g CO2/km,4045 mm / 1720 mm / 1455 mm,C,10.490€
19.317,2021,Eléctrico,Leganés,5,No,Automático ,Blanco,Todoterreno,False,False,False,190 CV,False,False,False,False,False,False,False,26.490€
162.522,2017,Diésel,Leganés,5,No,Automático ,Negro,Todoterreno,Jeep,Grand Cherokee,Grand Cherokee 3.0 V6 CRD Limited 241 CV,250 CV,Todoterreno,202 km/h,8.2 s,8.3 l/100km,218g CO2/km,4822 mm / 1943 mm / 1781 mm,B,27.990€
54,2022,Diésel,Leganés,4,No,Automático ,Negro,Pickup,Jeep,Gladiator,Gladiator Overland 3.0 Diesel 194 kW (264 CV) 4x4,264 CV,Pick Up,177 km/h,8.6 s,9.5 l/100km,g CO2/km,5591 mm / 1894 mm / 1843 mm,C,62.990€
62.941,2022,Eléctrico,Leganés,5,No,Automático ,Blanco,Todoterreno,False,False,False,190 CV,False,False,False,False,False,False,False,31.900€
54.134,2022,Eléctrico,Leganés,5,No,Automático ,Gris,Todoterreno,False,False,False,190 CV,False,False,False,False,False,False,False,31.900€
5.659,2022,Gasolina,Leganés,5,No,Manual ,Blanco,Sedan,Fiat,Tipo,Tipo 5p 1.4 Fire 70 kW (95 CV) Mirror,101 CV,Turismo,182 km/h,12.4 s,6.9 l/100km,g CO2/km,4368 mm / 1792 mm / 1495 mm,C,16.900€
8.054,2022,Gasolina,Leganés,5,No,Manual ,Rojo,Sedan,Fiat,Tipo,Tipo 5p 1.4 Fire 70 kW (95 CV) Mirror,101 CV,Turismo,182 km/h,12.4 s,6.9 l/100km,g CO2/km,4368 mm / 1792 mm / 1495 mm,C,16.900€
9.023,2022,Gasolina,Leganés,5,No,Manual ,Blanco,Sedan,Fiat,Tipo,Tipo 5p 1.4 Fire 70 kW (95 CV) Mirror,101 CV,Turismo,182 km/h,12.4 s,6.9 l/100km,g CO2/km,4368 mm / 1792 mm / 1495 mm,C,16.900€
11.177,2022,Gasolina,Leganés,5,No,Manual ,Gris,Sedan,Fiat,Tipo,Tipo 5p Life 1.0 T3 73 CV (100 CV),101 CV,Turismo,192 km/h,11.8 s,5.6 l/100km,g CO2/km,4368 mm / 1792 mm / 1495 mm,C,16.900€
167.455,2017,Diésel,Leganés,4,No,Manual ,Rojo,Furgoneta,Fiat,Doblo,Nuevo Dobló Panorama Emotion 1.6 Multijet 105,105 CV,Vehículo comercial,164 km/h,13.4 s,5.2 l/100km,138g CO2/km,4390 mm / 1832 mm / 1845 mm,B,9.900€
65.565,2020,Diésel,Leganés,5,No,Manual ,Blanco,Todoterreno,Fiat,500L,500L Urban 1.3 Multijet 70 kW (95 CV),95 CV,Monovolumen,171 km/h,13.9 s,4.4 l/100km,113g CO2/km,4242 mm / 1784 mm / 1658 mm,C,14.900€
14.216,2020,Eléctrico,Leganés,3,No,Automático ,Negro,Sedan,False,False,False,118 CV,False,False,False,False,False,False,False,27.800€
19.938,2020,Eléctrico,Leganés,3,No,Automático ,Azul,Sedan,False,False,False,118 CV,False,False,False,False,False,False,False,27.800€
10.915,2022,Gasolina,Leganés,3,No,Manual ,Blanco,Sedan,Fiat,500,500 Dolcevita 1.0 Hybrid 51 kW (70 CV),70 CV,Turismo,167 km/h,13.8 s,5.1 l/100km,g CO2/km,3571 mm / 1627 mm / 1488 mm,ECO,13.490€
30.610,2021,Gasolina,Leganés,3,No,Manual ,Gris,Sedan,Fiat,500,500 Sport 1.2 69 CV,70 CV,Turismo,160 km/h,12.9 s,5.1 l/100km,119g CO2/km,3546 mm / 1627 mm / 1488 mm,C,12.990€
16.273,2022,Gasolina,Leganés,3,No,Manual ,Gris,Sedan,Fiat,500,500 Sport 1.2 69 CV,70 CV,Turismo,160 km/h,12.9 s,5.1 l/100km,119g CO2/km,3546 mm / 1627 mm / 1488 mm,C,13.900€
15.924,2022,Gasolina,Leganés,3,No,Manual ,Azul,Sedan,Fiat,500,500 Sport 1.2 69 CV,70 CV,Turismo,160 km/h,12.9 s,5.1 l/100km,119g CO2/km,3546 mm / 1627 mm / 1488 mm,C,13.900€
8.446,2022,Gasolina,Leganés,3,No,Manual ,Azul,Sedan,Fiat,500,500 Sport 1.2 69 CV,70 CV,Turismo,160 km/h,12.9 s,5.1 l/100km,119g CO2/km,3546 mm / 1627 mm / 1488 mm,C,13.900€
19.302,2022,Gasolina,Leganés,3,No,Manual ,Negro,Sedan,Fiat,500,500 Sport 1.2 69 CV,70 CV,Turismo,160 km/h,12.9 s,5.1 l/100km,119g CO2/km,3546 mm / 1627 mm / 1488 mm,C,13.900€
12.458,2022,Gasolina,Leganés,3,No,Manual ,Azul,Sedan,Fiat,500,500 Sport 1.2 69 CV,70 CV,Turismo,160 km/h,12.9 s,5.1 l/100km,119g CO2/km,3546 mm / 1627 mm / 1488 mm,C,12.900€
930,2022,Gasolina,Leganés,3,No,Manual ,Azul,Sedan,Fiat,500,500 Cult 1.0 Hybrid 51 kW (70 CV),70 CV,Turismo,167 km/h,13.8 s,4.6 l/100km,g CO2/km,3571 mm / 1627 mm / 1488 mm,ECO,13.900€
5.258,2022,Gasolina,Leganés,3,No,Manual ,Azul,Sedan,Fiat,500,500 Sport 1.2 69 CV,70 CV,Turismo,160 km/h,12.9 s,5.1 l/100km,119g CO2/km,3546 mm / 1627 mm / 1488 mm,C,12.900€
30,2023,Gasolina,Leganés,5,No,Manual ,Blanco,Sedan,Citroen,C3,C3 PureTech 83 Shine,83 CV,Turismo,169 km/h,13.3 s,5.7 l/100km,99g CO2/km,3996 mm / 1749 mm / 1474 mm,C,14.900€
18,2023,Gasolina,Leganés,5,No,Manual ,Gris,Sedan,Citroen,C3,C3 PureTech 83 S&S C-Series,83 CV,Turismo,169 km/h,13.3 s,5.8 l/100km,g CO2/km,3996 mm / 1749 mm / 1474 mm,C,13.900€
62.280,2021,Diésel,Leganés,5,No,Automático ,Blanco,Todoterreno,Alfa Romeo,Stelvio,Stelvio Super 2.2 Diesel 133 kW (180 CV) AT8 Q4,190 CV,Todoterreno,210 km/h,7.6 s,4.8 l/100km,127g CO2/km,4687 mm / 1903 mm / 1671 mm,C,28.900€
115.000,1995,Gasolina,Alcalá de Henares,2,No,Manual ,Azul,Cabriolet,False,False,False,115 CV,False,False,False,False,False,False,False,15.000€
66.998,2022,Híbrido (Diésel),Alcalá de Henares,5,Sí,Automático ,Azul,Familiar,Mercedes-Benz,Clase C,C 350 e Estate,265 CV,Turismo familiar,246 km/h,6.2 s,2.1 l/100km,49g CO2/km,4702 mm / 1810 mm / 1460 mm,ECO,44.899€
35.000,2012,Gasolina,Alcalá de Henares,2,No,Automático ,Gris,Deportivo,Lamborghini,Aventador,Aventador LP 700-4,700 CV,Coupé,350 km/h,2.9 s,17.2 l/100km,398g CO2/km,4780 mm / 2030 mm / 1136 mm,C,324.999€
291.000,2012,Diésel,Alcalá de Henares,3,Sí,Manual ,Rojo,Berlina,Audi,A3,A3 Attraction 1.6 TDI,104 CV,Turismo,194 km/h,11.4 s,4.1 l/100km,109g CO2/km,4238 mm / 1765 mm / 1421 mm,B,7.900€
4,0,Diésel,Alcalá de Guadaira,5,Sí,Automático ,Negro,Vehículo,Mercedes-Benz,Clase V,V 300 d 4MATIC Avantgarde Compacto,239 CV,Monovolumen,214 km/h,8.5 s,6.6 l/100km,173g CO2/km,4895 mm / 1928 mm / 1880 mm,C,65.590€
3,0,Diésel,Alcalá de Guadaira,5,Sí,Automático ,Gris,Vehículo,Mercedes-Benz,Clase V,V 300 d 4MATIC Avantgarde Compacto,239 CV,Monovolumen,214 km/h,8.5 s,6.6 l/100km,173g CO2/km,4895 mm / 1928 mm / 1880 mm,C,71.190€
64.000,2016,Gasolina,Rubi,5,Sí,Manual ,Gris claro,Sedan,DS,4,4 VTi 120 Style,120 CV,Turismo,193 km/h,10.8 s,6.2 l/100km,144g CO2/km,4275 mm / 1810 mm / 1526 mm,C,14.950€
107.000,2016,Diésel,Rubi,5,Sí,Manual ,Negro,Sedan,Audi,A3,A3 Sportback 1.6 TDI clean diesel 110 CV Ambition,110 CV,Turismo,200 km/h,10.7 s,3.8 l/100km,99g CO2/km,4310 mm / 1785 mm / 1425 mm,B,16.100€
32.500,2020,Gasolina,Riells i Viabrea,5,Sí,Manual ,Blanco,Todoterreno,Peugeot,2008,2008 GT Line 1.2 PureTech 130 S&S EAT6,130 CV,Todoterreno,203 km/h, s,5.2 l/100km,118g CO2/km,4159 mm / 1739 mm / 1570 mm,C,19.000€
60.762,2021,Híbrido (Gasolina),Málaga Capital,5,Sí,Automático ,Negro,Todoterreno,Lexus,UX,UX 250h 4x4 Premium,183 CV,Todoterreno,177 km/h,8.7 s,5.9 l/100km,g CO2/km,4495 mm / 1840 mm / 1540 mm,ECO,31.900€
809,2023,Híbrido (Gasolina),Málaga Capital,5,Sí,Automático ,Rojo,Todoterreno,Lexus,UX,UX 250h 4x4 Luxury,183 CV,Todoterreno,177 km/h,8.7 s,4.8 l/100km,103g CO2/km,4495 mm / 1840 mm / 1540 mm,ECO,35.900€
2.223,2023,Híbrido (Gasolina),Málaga Capital,5,Sí,Automático ,Rojo,Todoterreno,Lexus,UX,UX 250h 4x4 Style,183 CV,Todoterreno,177 km/h,8.7 s,5.9 l/100km,g CO2/km,4495 mm / 1840 mm / 1540 mm,ECO,34.900€
